"Code","Codelist Code","Codelist Extensible (Yes/No)","Codelist Name","CDISC Submission Value","CDISC Synonym(s)","CDISC Definition","NCI Preferred Term","Standard and Date"
"C142422","C203912",,"MRCT Center Clinical Research Glossary","clinical benefit",,"A health change that researchers measure to show that the study treatment helps the study participants. (https://mrctcenter.org/glossaryterm/clinical-benefit/)","Clinical Benefit","MRCT CT 2024-03-29"
"C51811","C203912",,"MRCT Center Clinical Research Glossary","Clinical Research Coordinator (CRC)",,"A research staff member who helps manage studies. (https://mrctcenter.org/glossaryterm/clinical-research-coordinator-crc/)","Clinical Coordinator","MRCT CT 2024-03-29"
"C142435","C203912",,"MRCT Center Clinical Research Glossary","clinical research",,"A controlled method of studying health and illness in people. (https://mrctcenter.org/glossaryterm/clinical-research/)","Clinical Research and Development","MRCT CT 2024-03-29"
"C71104","C203912",,"MRCT Center Clinical Research Glossary","clinical trial",,"A research study that tests drugs, devices and treatments to see if they are safe and work in people. (https://mrctcenter.org/glossaryterm/clinical-trial/)","Clinical Trial","MRCT CT 2024-03-29"
"C85499","C203912",,"MRCT Center Clinical Research Glossary","clinician",,"A health care provider. (https://mrctcenter.org/glossaryterm/clinician/)","Clinician","MRCT CT 2024-03-29"
"C61512","C203912",,"MRCT Center Clinical Research Glossary","cohort",,"A group of study participants that are similar in some way. (https://mrctcenter.org/glossaryterm/cohort/)","Cohort","MRCT CT 2024-03-29"
"C203916","C203912",,"MRCT Center Clinical Research Glossary","Comparative Effectiveness Research (CER)",,"A study comparing two or more treatments. (https://mrctcenter.org/glossaryterm/comparative-effectiveness-research-cer/)","Comparative Effectiveness Research","MRCT CT 2024-03-29"
"C39490","C203912",,"MRCT Center Clinical Research Glossary","compliance",,"Following research requirements. (https://mrctcenter.org/glossaryterm/compliance/)","Patient Compliance","MRCT CT 2024-03-29"
"C17204","C203912",,"MRCT Center Clinical Research Glossary","Computerized Tomography (CT) scan",,"A way to take pictures of the inside of a person's body using a type of radiation and a computer. (https://mrctcenter.org/glossaryterm/computerized-tomography-ct-scan/)","Computed Tomography","MRCT CT 2024-03-29"
"C153144","C203912",,"MRCT Center Clinical Research Glossary","conduct",,"To do a study or procedure. (https://mrctcenter.org/glossaryterm/conduct/)","Study Conduct","MRCT CT 2024-03-29"
"C53324","C203912",,"MRCT Center Clinical Research Glossary","confidence interval",,"The defined range of numbers used to describe where the results are expected to fall. (https://mrctcenter.org/glossaryterm/confidence-interval/)","Confidence Interval","MRCT CT 2024-03-29"
"C16466","C203912",,"MRCT Center Clinical Research Glossary","confidentiality",,"Protecting personal information from people who should not have access. (https://mrctcenter.org/glossaryterm/confidentiality/)","Confidentiality","MRCT CT 2024-03-29"
"C203917","C203912",,"MRCT Center Clinical Research Glossary","confounding",,"When the study outcome is influenced by outside conditions that were not expected by the study researchers. (https://mrctcenter.org/glossaryterm/confounding/)","Confound","MRCT CT 2024-03-29"
"C16468","C203912",,"MRCT Center Clinical Research Glossary","consent form",,"A document used to explain the planned research before a person decides whether or not to join a study. (https://mrctcenter.org/glossaryterm/consent-form/)","Consent Form","MRCT CT 2024-03-29"
"C54148","C203912",,"MRCT Center Clinical Research Glossary","Contract Research Organization (CRO)",,"A group that is paid by the study sponsor to support research studies. (https://mrctcenter.org/glossaryterm/contract-research-organization-cro/)","Contract Research Organization","MRCT CT 2024-03-29"
"C28143","C203912",,"MRCT Center Clinical Research Glossary","control group",,"The people in a study who do not receive the study treatment or do not have the condition being studied. (https://mrctcenter.org/glossaryterm/control-group/)","Control Group","MRCT CT 2024-03-29"
"C48834","C203912",,"MRCT Center Clinical Research Glossary","correlation",,"When two or more measures are linked. (https://mrctcenter.org/glossaryterm/correlation/)","Correlation","MRCT CT 2024-03-29"
"C142489","C203912",,"MRCT Center Clinical Research Glossary","Data Monitoring Committee/Data and Safety Monitoring Board (DMC/DSMB)",,"An independent group of experts that reviews study data to make sure that patient safety is protected. (https://mrctcenter.org/glossaryterm/data-monitoring-committee-data-and-safety-monitoring)","Data Monitoring Committee","MRCT CT 2024-03-29"
"C25474","C203912",,"MRCT Center Clinical Research Glossary","data",,"Information collected from or about people taking part in a research study. (https://mrctcenter.org/glossaryterm/data/)","Data","MRCT CT 2024-03-29"
"C142444","C203912",,"MRCT Center Clinical Research Glossary","discontinue (participant)",,"To remove a study participant from a study. (https://mrctcenter.org/glossaryterm/discontinue-participant/)","Study Subject Discontinuation","MRCT CT 2024-03-29"
"C49502","C203912",,"MRCT Center Clinical Research Glossary","discontinue (study treatment)",,"To stop a study treatment in a participant. (https://mrctcenter.org/glossaryterm/discontinue-study-treatment/)","Drug Withdrawn","MRCT CT 2024-03-29"
"C17747","C203912",,"MRCT Center Clinical Research Glossary","disease progression",,"An illness getting worse over time. (https://mrctcenter.org/glossaryterm/disease-progression/)","Disease Progression","MRCT CT 2024-03-29"
"C17751","C203912",,"MRCT Center Clinical Research Glossary","disease-free survival",,"The length of time after treatment that a person lives without the illness coming back. (https://mrctcenter.org/glossaryterm/disease-free-survival/)","Disease-Free Survival","MRCT CT 2024-03-29"
"C90475","C203912",,"MRCT Center Clinical Research Glossary","dose escalation study",,"A kind of study where increasing amounts of a study treatment are given to different groups to find the best dose. (https://mrctcenter.org/glossaryterm/dose-escalation-study/)","Titration Study","MRCT CT 2024-03-29"
"C15228","C203912",,"MRCT Center Clinical Research Glossary","double-blind study",,"A study that is set up so that the study treatment that each participant receives is not known by the participants or the researchers. (https://mrctcenter.org/glossaryterm/double-blind-study/)","Double Blind Study","MRCT CT 2024-03-29"
"C203920","C203912",,"MRCT Center Clinical Research Glossary","e-consent (form)",,"An electronic version of an informed consent form. (https://mrctcenter.org/glossaryterm/e-consent-form/)","Electronic Consent Form","MRCT CT 2024-03-29"
"C142522","C203912",,"MRCT Center Clinical Research Glossary","effectiveness",,"How well a treatment works. (https://mrctcenter.org/glossaryterm/effectiveness/)","Effectiveness","MRCT CT 2024-03-29"
"C88183","C203912",,"MRCT Center Clinical Research Glossary","efficacy",,"How well a study treatment works in the study. (https://mrctcenter.org/glossaryterm/efficacy/)","Efficacy","MRCT CT 2024-03-29"
"C16112","C203912",,"MRCT Center Clinical Research Glossary","eligibility criteria",,"The reasons a person can be included in, or excluded from, a study. (https://mrctcenter.org/glossaryterm/eligibility-criteria/)","Clinical Trial Eligibility Criteria","MRCT CT 2024-03-29"
"C96966","C203912",,"MRCT Center Clinical Research Glossary","Emergency Use Authorization (EUA)",,"A process to make a treatment or vaccine available during a public health emergency, before all research is complete, and before full approval is granted. (https://mrctcenter.org/glossaryterm/emergency-use-authorization-eua/)","Emergency Use Authorization","MRCT CT 2024-03-29"
"C25212","C203912",,"MRCT Center Clinical Research Glossary","endpoint",,"A measure of the expected effect of the study treatment. (https://mrctcenter.org/glossaryterm/endpoint/)","End Point","MRCT CT 2024-03-29"
"C37948","C203912",,"MRCT Center Clinical Research Glossary","enroll",,"The action of a participant joining the study after providing informed consent. (https://mrctcenter.org/glossaryterm/enroll/)","Enrollment","MRCT CT 2024-03-29"
"C17843","C203912",,"MRCT Center Clinical Research Glossary","epidemiologist",,"A person who studies where, why, how often, and to what populations health concerns and diseases happen. (https://mrctcenter.org/glossaryterm/epidemiologist/)","Epidemiologist","MRCT CT 2024-03-29"
"C142539","C203912",,"MRCT Center Clinical Research Glossary","equivalence",,"When two or more things in a study are about the same. (https://mrctcenter.org/glossaryterm/equivalence/)","Equivalence Trial","MRCT CT 2024-03-29"
"C203921","C203912",,"MRCT Center Clinical Research Glossary","equivalent (effect)",,"The same or almost the same result. (https://mrctcenter.org/glossaryterm/equivalent-effect/)","Equivalent Effect","MRCT CT 2024-03-29"
"C25370","C203912",,"MRCT Center Clinical Research Glossary","exclusion criteria",,"A list of reasons a person cannot be included in a study. (https://mrctcenter.org/glossaryterm/exclusion-criteria/)","Exclusion Criteria","MRCT CT 2024-03-29"
"C98722","C203912",,"MRCT Center Clinical Research Glossary","expanded access",,"A process for a doctor to request an unapproved treatment for a seriously ill patient. (https://mrctcenter.org/glossaryterm/expanded-access/)","Expanded Access Study","MRCT CT 2024-03-29"
"C147146","C203912",,"MRCT Center Clinical Research Glossary","exploratory research",,"A process to find facts that can guide the design of future studies. (https://mrctcenter.org/glossaryterm/exploratory-research/)","Exploratory Research","MRCT CT 2024-03-29"
"C25515","C203912",,"MRCT Center Clinical Research Glossary","frequency",,"How often something happens over a period of time. (https://mrctcenter.org/glossaryterm/frequency/)","Temporal Frequency","MRCT CT 2024-03-29"
"C142429","C203912",,"MRCT Center Clinical Research Glossary","generalizability",,"How research results can apply to people who were not part of the study. (https://mrctcenter.org/glossaryterm/generalizability/)","Clinical Generalizability","MRCT CT 2024-03-29"
"C93150","C203912",,"MRCT Center Clinical Research Glossary","hazard ratio",,"A measure of risk that compares two treatments in the same study. (https://mrctcenter.org/glossaryterm/hazard-ratio/)","Hazard Ratio","MRCT CT 2024-03-29"
"C49651","C203912",,"MRCT Center Clinical Research Glossary","healthy volunteer",,"A study participant who does not have a disease or condition, including the one being studied. (https://mrctcenter.org/glossaryterm/healthy-volunteer/)","Healthy Subject","MRCT CT 2024-03-29"
"C27998","C203912",,"MRCT Center Clinical Research Glossary","hereditary",,"A parent's features and traits being passed to their biological children before birth. (https://mrctcenter.org/glossaryterm/hereditary/)","Hereditary","MRCT CT 2024-03-29"
"C142668","C203912",,"MRCT Center Clinical Research Glossary","hypothesis",,"An idea that is tested in a research study. (https://mrctcenter.org/glossaryterm/hypothesis/)","Research Hypothesis","MRCT CT 2024-03-29"
"C16726","C203912",,"MRCT Center Clinical Research Glossary","incidence",,"Number of new cases or events during a period of time. (https://mrctcenter.org/glossaryterm/incidence/)","Incidence","MRCT CT 2024-03-29"
"C25532","C203912",,"MRCT Center Clinical Research Glossary","inclusion criteria",,"A list of requirements a person must meet to take part in a study. (https://mrctcenter.org/glossaryterm/inclusion-criteria/)","Inclusion Criteria","MRCT CT 2024-03-29"
"C16735","C203912",,"MRCT Center Clinical Research Glossary","informed consent",,"The process of learning and discussing the details of a research study before deciding whether to take part. (https://mrctcenter.org/glossaryterm/informed-consent/)","Informed Consent","MRCT CT 2024-03-29"
"C15388","C203912",,"MRCT Center Clinical Research Glossary","infusion",,"A way to give a fluid to the study participant, usually through a vein. (https://mrctcenter.org/glossaryterm/infusion/)","Infusion Procedure","MRCT CT 2024-03-29"
"C16741","C203912",,"MRCT Center Clinical Research Glossary","Institutional Review Board (IRB)",,"A team of people who review studies to protect the rights and welfare of study participants. (https://mrctcenter.org/glossaryterm/institutional-review-board-irb/)","Institutional Review Board","MRCT CT 2024-03-29"
"C202579","C203912",,"MRCT Center Clinical Research Glossary","investigational medicine",,"A treatment or drug that is not yet approved for the condition being studied. (https://mrctcenter.org/glossaryterm/investigational-medicine/)","Investigational Medicinal Product","MRCT CT 2024-03-29"
"C41161","C203912",,"MRCT Center Clinical Research Glossary","investigational product",,"A drug, device, vaccine or other treatment being tested in a study. (https://mrctcenter.org/glossaryterm/investigational-product/)","Protocol Agent","MRCT CT 2024-03-29"
"C25936","C203912",,"MRCT Center Clinical Research Glossary","investigator",,"A person who leads a research study. (https://mrctcenter.org/glossaryterm/investigator/)","Investigator","MRCT CT 2024-03-29"
"C15273","C203912",,"MRCT Center Clinical Research Glossary","longitudinal study",,"Research that collects data from the same participants over a long time. (https://mrctcenter.org/glossaryterm/longitudinal-study/)","Longitudinal Study","MRCT CT 2024-03-29"
"C16809","C203912",,"MRCT Center Clinical Research Glossary","Magnetic Resonance Imaging (MRI)",,"A way to take pictures of the inside of a person’s body with a machine that uses strong magnets and radio waves. (https://mrctcenter.org/glossaryterm/magnetic-resonance-imaging-mri/)","Magnetic Resonance Imaging","MRCT CT 2024-03-29"
"C25564","C203912",,"MRCT Center Clinical Research Glossary","maximum",,"The most or largest amount. (https://mrctcenter.org/glossaryterm/maximum/)","Maximum","MRCT CT 2024-03-29"
"C53319","C203912",,"MRCT Center Clinical Research Glossary","mean",,"The average. (https://mrctcenter.org/glossaryterm/mean/)","Arithmetic Mean","MRCT CT 2024-03-29"
"C28007","C203912",,"MRCT Center Clinical Research Glossary","median",,"The middle number in a set of numbers when listed in order from lowest to highest. (https://mrctcenter.org/glossaryterm/median/)","Median","MRCT CT 2024-03-29"
"C25570","C203912",,"MRCT Center Clinical Research Glossary","minimal","minimum","Very small. (https://mrctcenter.org/glossaryterm/minimal/)","Minimum","MRCT CT 2024-03-29"
"C61256","C203912",,"MRCT Center Clinical Research Glossary","monitor",,"To observe, check or evaluate something in a study over time. (https://mrctcenter.org/glossaryterm/monitor/)","Monitoring","MRCT CT 2024-03-29"
"C184382","C203912",,"MRCT Center Clinical Research Glossary","morbidity (rate)",,"The number of people who develop a disease or illness in a group over time. (https://mrctcenter.org/glossaryterm/morbidity-rate/)","Morbidity Rate","MRCT CT 2024-03-29"
"C16880","C203912",,"MRCT Center Clinical Research Glossary","mortality (rate)",,"The number of deaths in a group of people over time. (https://mrctcenter.org/glossaryterm/mortality-rate/)","Mortality Rate","MRCT CT 2024-03-29"
"C16104","C203912",,"MRCT Center Clinical Research Glossary","multicenter trial",,"A study that takes place at more than one research center. (https://mrctcenter.org/glossaryterm/multicenter-trial/)","Multi-Institutional Clinical Trial","MRCT CT 2024-03-29"
"C35681","C203912",,"MRCT Center Clinical Research Glossary","negative test result",,"A test result that shows a person does not have what was tested for. (https://mrctcenter.org/glossaryterm/negative-test-result/)","Negative Test Result","MRCT CT 2024-03-29"
"C203922","C203912",,"MRCT Center Clinical Research Glossary","negligible",,"So small that it has little to no impact. (https://mrctcenter.org/glossaryterm/negligible/)","Negligible","MRCT CT 2024-03-29"
"C91752","C203912",,"MRCT Center Clinical Research Glossary","non-compliance",,"Not following research requirements. (https://mrctcenter.org/glossaryterm/non-compliance/)","Patient Noncompliance","MRCT CT 2024-03-29"
"C184386","C203912",,"MRCT Center Clinical Research Glossary","non-inferiority trial",,"A study to test if a study treatment works about as well as another treatment for the same condition. (https://mrctcenter.org/glossaryterm/non-inferiority-trial/)","Non-Inferiority Study","MRCT CT 2024-03-29"
"C142450","C203912",,"MRCT Center Clinical Research Glossary","objective",,"A purpose or goal of a study. (https://mrctcenter.org/glossaryterm/objective/)","Clinical Trial Objective","MRCT CT 2024-03-29"
"C16084","C203912",,"MRCT Center Clinical Research Glossary","observational study",,"A study that collects health information about study participants without giving a treatment. (https://mrctcenter.org/glossaryterm/observational-study/)","Observational Study","MRCT CT 2024-03-29"
"C16932","C203912",,"MRCT Center Clinical Research Glossary","odds ratio",,"The chance of a health event happening in one group compared with the chance of the same event happening in another group. (https://mrctcenter.org/glossaryterm/odds-ratio/)","Odds Ratio","MRCT CT 2024-03-29"
"C125600","C203912",,"MRCT Center Clinical Research Glossary","off-label",,"The use of a treatment in a different way or for a condition other than what it is approved for. (https://mrctcenter.org/glossaryterm/off-label/)","Off-Label Treatment","MRCT CT 2024-03-29"
"C49659","C203912",,"MRCT Center Clinical Research Glossary","open-label",,"A type of study where participants and research staff know which treatment participants are being given. (https://mrctcenter.org/glossaryterm/open-label/)","Open Label Study","MRCT CT 2024-03-29"
"C204098","C203912",,"MRCT Center Clinical Research Glossary","outcome (of study)",,"A description of the overall results of the study. (https://mrctcenter.org/glossaryterm/outcome-of-study/)","Study Outcome","MRCT CT 2024-03-29"
"C93407","C203912",,"MRCT Center Clinical Research Glossary","outcome measure",,"The way that a study endpoint is measured. (https://mrctcenter.org/glossaryterm/outcome-measure/)","Study Outcome Measurement","MRCT CT 2024-03-29"
"C44185","C203912",,"MRCT Center Clinical Research Glossary","p-value (probability value)",,"A number that researchers use to show that a result did not occur by chance. (https://mrctcenter.org/glossaryterm/p-value-probability-value/)","P-Value","MRCT CT 2024-03-29"
"C95401","C203912",,"MRCT Center Clinical Research Glossary","Patient Reported Outcomes (PROs)",,"The information that patients share about their own health or well-being to answer questions in a study. (https://mrctcenter.org/glossaryterm/patient-reported-outcomes-pros/)","Patient Reported Outcome","MRCT CT 2024-03-29"
"C16963","C203912",,"MRCT Center Clinical Research Glossary","peer review",,"Evaluation by independent experts. (https://mrctcenter.org/glossaryterm/peer-review/)","Peer Review","MRCT CT 2024-03-29"
"C49662","C203912",,"MRCT Center Clinical Research Glossary","Pharmacodynamic (PD) study",,"A study that measures the effects of a drug on the human body. (https://mrctcenter.org/glossaryterm/pharmacodynamic-pd-study/)","Pharmacodynamic Study","MRCT CT 2024-03-29"
"C15299","C203912",,"MRCT Center Clinical Research Glossary","Pharmacokinetic (PK) study",,"A study that measures what happens to a drug in a person’s body over time. (https://mrctcenter.org/glossaryterm/pharmacokinetic-pk-study/)","Pharmacokinetics","MRCT CT 2024-03-29"
"C142637","C203912",,"MRCT Center Clinical Research Glossary","pharmacovigilance",,"A process to detect, review, and make decisions about drug safety to protect patients. (https://mrctcenter.org/glossaryterm/pharmacovigilance/)","Pharmacovigilance","MRCT CT 2024-03-29"
"C48281","C203912",,"MRCT Center Clinical Research Glossary","phase",,"A step in the overall clinical research process to test a new drug, device, or treatment. (https://mrctcenter.org/glossaryterm/phase/)","Trial Phase","MRCT CT 2024-03-29"
"C753","C203912",,"MRCT Center Clinical Research Glossary","placebo",,"Something that looks like the treatment being studied, but doesn't contain any medicine. (https://mrctcenter.org/glossaryterm/placebo/)","Placebo","MRCT CT 2024-03-29"
"C203925","C203912",,"MRCT Center Clinical Research Glossary","placebo-controlled study",,"A study with two or more groups where one group is given a placebo. (https://mrctcenter.org/glossaryterm/placebo-controlled-study/)","Placebo-Controlled Study","MRCT CT 2024-03-29"
"C165829","C203912",,"MRCT Center Clinical Research Glossary","platform trial",,"A research study that tests and compares two or more study treatments for a disease or condition, with study treatment groups being added or removed during the study period. (https://mrctcenter.org/glossaryterm/platform-trial/)","Platform Protocol","MRCT CT 2024-03-29"
"C38758","C203912",,"MRCT Center Clinical Research Glossary","positive test result",,"A test result that shows a person has what was tested for. (https://mrctcenter.org/glossaryterm/positive-test-result/)","Positive Finding","MRCT CT 2024-03-29"
"C187706","C203912",,"MRCT Center Clinical Research Glossary","post-trial access",,"When participants can still receive a study treatment after their participation has ended. (https://mrctcenter.org/glossaryterm/post-trial-access/)","Continued Access Study","MRCT CT 2024-03-29"
"C142642","C203912",,"MRCT Center Clinical Research Glossary","preclinical study",,"A study to test a treatment in the lab or in animals before testing it in people. (https://mrctcenter.org/glossaryterm/preclinical-study/)","Preclinical Study","MRCT CT 2024-03-29"
"C17010","C203912",,"MRCT Center Clinical Research Glossary","prevalence",,"Number of known cases or events in a group. (https://mrctcenter.org/glossaryterm/prevalence/)","Prevalence","MRCT CT 2024-03-29"
"C94496","C203912",,"MRCT Center Clinical Research Glossary","primary endpoint",,"A study measure that is used to answer the main research question. (https://mrctcenter.org/glossaryterm/primary-endpoint/)","Primary Endpoint","MRCT CT 2024-03-29"
"C54154","C203912",,"MRCT Center Clinical Research Glossary","probability",,"The likelihood or chance that something might happen. (https://mrctcenter.org/glossaryterm/probability/)","Probability","MRCT CT 2024-03-29"
"C28234","C203912",,"MRCT Center Clinical Research Glossary","progression-free survival",,"The length of time without a person's illness getting worse. (https://mrctcenter.org/glossaryterm/progression-free-survival/)","Progression-free Survival","MRCT CT 2024-03-29"
"C142646","C203912",,"MRCT Center Clinical Research Glossary","prospective study",,"Research that uses new data collected from participants. (https://mrctcenter.org/glossaryterm/prospective-study/)","Prospective Study","MRCT CT 2024-03-29"
"C142451","C203912",,"MRCT Center Clinical Research Glossary","protocol",,"A complete description of the research plan and procedures. (https://mrctcenter.org/glossaryterm/protocol/)","Clinical Trial Protocol","MRCT CT 2024-03-29"
"C119264","C203912",,"MRCT Center Clinical Research Glossary","proxy",,"A person who is legally allowed to make research decisions for someone else. (https://mrctcenter.org/glossaryterm/proxy/)","Proxy","MRCT CT 2024-03-29"
"C203926","C203912",,"MRCT Center Clinical Research Glossary","pseudonymize",,"Replace personal details with a code so that data are protected. (https://mrctcenter.org/glossaryterm/pseudonymized/)","Pseudonymize","MRCT CT 2024-03-29"
"C17047","C203912",,"MRCT Center Clinical Research Glossary","Quality of Life (QOL)",,"How someone feels and functions day to day. (https://mrctcenter.org/glossaryterm/quality-of-life-qol/)","Quality of Life","MRCT CT 2024-03-29"
"C17048","C203912",,"MRCT Center Clinical Research Glossary","questionnaire",,"A list of questions for study participants to answer as part of the study. (https://mrctcenter.org/glossaryterm/questionnaire/)","Questionnaire","MRCT CT 2024-03-29"
"C25196","C203912",,"MRCT Center Clinical Research Glossary","randomization",,"A way to use chance to place study participants into different study treatment groups. (https://mrctcenter.org/glossaryterm/randomization/)","Randomization","MRCT CT 2024-03-29"
"C46079","C203912",,"MRCT Center Clinical Research Glossary","randomized controlled trial",,"Research that uses chance for participants to be assigned to the study treatment group or a comparison group. (https://mrctcenter.org/glossaryterm/randomized-controlled-trial/)","Randomized Controlled Clinical Trial","MRCT CT 2024-03-29"
"C165830","C203912",,"MRCT Center Clinical Research Glossary","Real World Data (RWD)",,"Health-related information collected from many different types of records and used for research purposes. (https://mrctcenter.org/glossaryterm/real-world-data-rwd/)","Real-world Data","MRCT CT 2024-03-29"
"C165831","C203912",,"MRCT Center Clinical Research Glossary","Real World Evidence (RWE)",,"Findings from analyzing real world data. (https://mrctcenter.org/glossaryterm/real-world-evidence-rwe/)","Real-world Evidence","MRCT CT 2024-03-29"
"C93453","C203912",,"MRCT Center Clinical Research Glossary","registry (study)",,"An organized list of research information. (https://mrctcenter.org/glossaryterm/registry-study/)","Study Registry","MRCT CT 2024-03-29"
"C93152","C203912",,"MRCT Center Clinical Research Glossary","relative risk",,"The chance of a harmful event happening in one study group compared to another. (https://mrctcenter.org/glossaryterm/relative-risk/)","Relative Risk","MRCT CT 2024-03-29"
"C203930","C203912",,"MRCT Center Clinical Research Glossary","results (study)",,"Findings from the study. (https://mrctcenter.org/glossaryterm/results-study/)","Study Results","MRCT CT 2024-03-29"
"C53312","C203912",,"MRCT Center Clinical Research Glossary","retrospective study",,"Research that uses already existing data. (https://mrctcenter.org/glossaryterm/retrospective-study/)","Retrospective Study","MRCT CT 2024-03-29"
"C203928","C203912",,"MRCT Center Clinical Research Glossary","risk-benefit ratio",,"A comparison of the possible bad and potential good things that could happen if a participant joins a research study. (https://mrctcenter.org/glossaryterm/risk-benefit-ratio/)","Risk-Benefit Ratio","MRCT CT 2024-03-29"
"C142718","C203912",,"MRCT Center Clinical Research Glossary","risks of a research study",,"The possible harms of being in a research study. (https://mrctcenter.org/glossaryterm/risks-of-a-research-study/)","Subject Risk","MRCT CT 2024-03-29"
"C53190","C203912",,"MRCT Center Clinical Research Glossary","sample size",,"The number of participants in a study or study group. (https://mrctcenter.org/glossaryterm/sample-size/)","Sample Size","MRCT CT 2024-03-29"
"C142678","C203912",,"MRCT Center Clinical Research Glossary","schedule of assessments",,"A chart that lists the study activities and when they will happen during a study. (https://mrctcenter.org/glossaryterm/schedule-of-assessments/)","Schedule Of Assessments","MRCT CT 2024-03-29"
"C48262","C203912",,"MRCT Center Clinical Research Glossary","screening",,"Tests and questions to find out if a person can join a study. (https://mrctcenter.org/glossaryterm/screening/)","Trial Screening","MRCT CT 2024-03-29"
"C139173","C203912",,"MRCT Center Clinical Research Glossary","secondary endpoint",,"A measure used to answer other important questions in the study that are not the main research question. (https://mrctcenter.org/glossaryterm/secondary-endpoint/)","Secondary Endpoint","MRCT CT 2024-03-29"
"C41394","C203912",,"MRCT Center Clinical Research Glossary","sensitivity (medical test)",,"How well a medical test can accurately identify people who have a disease or trait. (https://mrctcenter.org/glossaryterm/sensitivity-medical-test/)","Diagnostic Sensitivity","MRCT CT 2024-03-29"
"C2861","C203912",,"MRCT Center Clinical Research Glossary","side effect",,"A health change that is not the intended effect of the treatment and usually considered a problem. (https://mrctcenter.org/glossaryterm/side-effect/)","Side Effect","MRCT CT 2024-03-29"
