"Code","Codelist Code","Codelist Extensible (Yes/No)","Codelist Name","CDISC Submission Value","CDISC Synonym(s)","CDISC Definition","NCI Preferred Term","Standard and Date"
"C201330","C201258",,"DDF Response Code Attribute Terminology","Response Code Enabled Indicator",,"An indication as to whether the response code is activated for use within a given usage context.","Response Code Enabled Indicator","DDF CT 2024-03-29"
"C201259",,,"DDF Schedule Timeline Attribute Terminology","DDF Schedule Timeline Attribute Terminology","DDF Schedule Timeline Attribute Terminology","A terminology value set relevant to the attributes of the schedule timeline.","CDISC DDF Schedule Timeline Attribute Terminology","DDF CT 2024-03-29"
"C201331","C201259",,"DDF Schedule Timeline Attribute Terminology","Main Timeline Indicator",,"An indication as to whether the timeline or timeline component is part of the central or principal timeline.","Main Timeline Indicator","DDF CT 2024-03-29"
"C201332","C201259",,"DDF Schedule Timeline Attribute Terminology","Schedule Timeline Description",,"The textual representation of the schedule timeline.","Schedule Timeline Description","DDF CT 2024-03-29"
"C201333","C201259",,"DDF Schedule Timeline Attribute Terminology","Schedule Timeline Entry Condition",,"A logical evaluation on which rests the validity of entry into a schedule timeline.","Schedule Timeline Entry Condition","DDF CT 2024-03-29"
"C201334","C201259",,"DDF Schedule Timeline Attribute Terminology","Schedule Timeline Name",,"The literal identifier (i.e., distinctive designation) of the schedule timeline.","Schedule Timeline Name","DDF CT 2024-03-29"
"C201260",,,"DDF Scheduled Decision Instance Attribute Terminology","DDF Scheduled Decision Instance Attribute Terminology","DDF Scheduled Decision Instance Attribute Terminology","A terminology value set relevant to the attributes of the scheduled decision instance.","CDISC DDF Scheduled Decision Instance Attribute Terminology","DDF CT 2024-03-29"
"C201335","C201260",,"DDF Scheduled Decision Instance Attribute Terminology","Condition Assignments",,"An allotting or appointment to a set of conditions that are to be met in order to make a logical decision.","Condition Assignments","DDF CT 2024-03-29"
"C201261",,,"DDF Scheduled Instance Attribute Terminology","DDF Scheduled Instance Attribute Terminology","DDF Scheduled Instance Attribute Terminology","A terminology value set relevant to the attributes of the scheduled instance.","CDISC DDF Scheduled Instance Attribute Terminology","DDF CT 2024-03-29"
"C201336","C201261",,"DDF Scheduled Instance Attribute Terminology","Schedule Sequence Number",,"A numeral or string of numerals expressing a relative sequence of scheduled temporal events.","Schedule Sequence Number","DDF CT 2024-03-29"
"C201337","C201261",,"DDF Scheduled Instance Attribute Terminology","Scheduled Instance Type",,"A characterization or classification of the scheduled instance.","Scheduled Instance Type","DDF CT 2024-03-29"
