"Code","Codelist Code","Codelist Extensible (Yes/No)","Codelist Name","CDISC Submission Value","CDISC Synonym(s)","CDISC Definition","NCI Preferred Term","Standard and Date"
"C201266",,,"Biomarker Attribute Terminology","Biomarker Attribute Terminology","Biomarker Attribute Terminology","A terminology value set relevant to the attributes of the biomarker entity.","CDISC Protocol Biomarker Attribute Terminology","Protocol CT 2024-03-29"
"C201359","C201266",,"Biomarker Attribute Terminology","Biomarker Category",,"A characterization or classification of the biomarker.","Biomarker Category","Protocol CT 2024-03-29"
"C164706","C201266",,"Biomarker Attribute Terminology","Biomarker Name","Type of Biomarker","The literal identifier (i.e., distinctive designation) of the biomarker.","Biomarker Name","Protocol CT 2024-03-29"
"C201267",,,"Biomarker Category Value Set Terminology","Biomarker Category Value Set Terminology","Biomarker Category Value Set Terminology","The terminology relevant to the categorization of the biomarker relevant to the study.","CDISC Protocol Biomarker Category Value Set Terminology","Protocol CT 2024-03-29"
"C201361","C201267",,"Biomarker Category Value Set Terminology","Diagnostic Biomarker",,"A biomarker used to detect or confirm presence of a disease or condition of interest or to identify individuals with a subtype of the disease. (NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource)","Diagnostic Biomarker","Protocol CT 2024-03-29"
"C201362","C201267",,"Biomarker Category Value Set Terminology","Monitoring Biomarker",,"A biomarker measured repeatedly for assessing status of a disease or medical condition or for evidence of exposure to (or effect of) a medical product or an environmental agent. (NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource)","Monitoring Biomarker","Protocol CT 2024-03-29"
"C201365","C201267",,"Biomarker Category Value Set Terminology","Pharmacodynamic Biomarker",,"A response biomarker that indicates biologic activity of a medical product or environmental agent without necessarily drawing conclusions about efficacy or disease outcome or necessarily linking this activity to an established mechanism of action. (NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource)","Pharmacodynamic Biomarker","Protocol CT 2024-03-29"
"C201364","C201267",,"Biomarker Category Value Set Terminology","Predictive Biomarker",,"A biomarker used to identify individual who are more likely than similar individuals without the biomarker to experience a favorable or unfavorable effect from exposure to a medical product or an environmental agent. (NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource)","Predictive Biomarker","Protocol CT 2024-03-29"
"C201363","C201267",,"Biomarker Category Value Set Terminology","Prognostic Biomarker",,"A biomarker used to identify likelihood of a clinical event, disease recurrence, or progression in patients who have the disease or medical condition of interest. (NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource)","Prognostic Biomarker","Protocol CT 2024-03-29"
"C201303","C201267",,"Biomarker Category Value Set Terminology","Response Biomarker",,"A biomarker used to show that a biological response, potentially beneficial or harmful, has occurred in an individual who has been exposed to a medical product or an environmental agent. (NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource)","Response Biomarker","Protocol CT 2024-03-29"
"C201367","C201267",,"Biomarker Category Value Set Terminology","Safety Biomarker",,"A biomarker measured before or after an exposure to a medical product or an environmental agent to indicate the likelihood, presence, or extent of toxicity as an adverse effect. (NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource)","Safety Biomarker","Protocol CT 2024-03-29"
"C201366","C201267",,"Biomarker Category Value Set Terminology","Surrogate Endpoint Biomarker",,"A response biomarker that is an endpoint used in clinical trials as a substitute for a direct measure of how a patient feels, functions, or survives. (NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource)","Surrogate Endpoint Biomarker","Protocol CT 2024-03-29"
"C201360","C201267",,"Biomarker Category Value Set Terminology","Susceptibility Biomarker","Risk Biomarker","A biomarker that indicates the potential for developing a disease or medical condition in an individual who does not currently have clinically apparent disease or the medical condition. (NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource)","Susceptibility Biomarker","Protocol CT 2024-03-29"
"C142191",,,"Clinical Study Attribute Terminology","Clinical Study Attribute Terminology","Clinical Study Attribute Terminology","A terminology value set relevant to the attributes of the clinical study entity.","CDISC Protocol Entities Clinical Study Attribute Terminology","Protocol CT 2024-03-29"
"C70794","C142191",,"Clinical Study Attribute Terminology","Primary Clinical Study Sponsor",,"The individual, organization, group or other legal person taking responsibility for securing the arrangements to initiate and/or manage a study (including arrangements to ensure that the study design meets appropriate standards and to ensure appropriate conduct and reporting). In commercial trials, the primary sponsor is normally the main applicant for regulatory authorization to begin the study. It may or may not be the main funder. (NCI)","Primary Clinical Study Sponsor","Protocol CT 2024-03-29"
"C70795","C142191",,"Clinical Study Attribute Terminology","Secondary Clinical Study Sponsor",,"Additional individuals, organizations or other legal persons, if any, that have agreed with the primary sponsor to take on responsibilities of sponsorship. A secondary sponsor may have agreed to take on all the responsibilities of sponsorship jointly with the primary sponsor; or to form a group with the primary sponsor in which the responsibilities of sponsorship are allocated among the members of the group; or to act as the sponsor's legal representative in relation to some or all of the study sites; or to take responsibility for the accuracy of study registration information submitted.","Secondary Clinical Study Sponsor","Protocol CT 2024-03-29"
"C71473","C142191",,"Clinical Study Attribute Terminology","Study Activity",,"An action, undertaking, or event, which is anticipated to be performed or observed, or was performed or observed, according to the study protocol during the execution of the study.","Study Activity","Protocol CT 2024-03-29"
"C94122","C142191",,"Clinical Study Attribute Terminology","Study Rationale","Study Purpose","A statement describing the overall rationale of the study. This field describes the contribution of this study to product development, i.e., what knowledge is being contributed from the conduct of this study.","Study Protocol Version Purpose Statement","Protocol CT 2024-03-29"
"C93682","C142191",,"Clinical Study Attribute Terminology","Study Schematic Diagram","Study Schema","A diagram that outlines the decision points (e.g. randomization, response evaluation) that define the different paths a participant could take through the study. This is typically a block diagram and may include epochs, timing of randomization, treatment arms, and duration of treatments.","Study Schematic","Protocol CT 2024-03-29"
"C142175","C142191",,"Clinical Study Attribute Terminology","Study Type","Study Type; Study Type Classification","The nature of the investigation for which study information is being collected. (After clinicaltrials.gov)","Study Type","Protocol CT 2024-03-29"
"C139020",,,"Clinical Trial Attribute Terminology","Clinical Trial Attribute Terminology","Clinical Trial Attribute Terminology","A terminology value set relevant to the attributes of the clinical trial entity.","CDISC Protocol Entities Clinical Trial Attribute Terminology","Protocol CT 2024-03-29"
"C139170","C139020",,"Clinical Trial Attribute Terminology","Country of Recruitment",,"The country in which participants are located when enrolling in a trial or study.","Country of Recruitment","Protocol CT 2024-03-29"
"C139171","C139020",,"Clinical Trial Attribute Terminology","Date of First Enrollment",,"Date or date and time of first subject enrollment into a study, as verifiable by a convention that is consistent with authoritative regulatory criteria. [Modified from ICH E3] (CDISC Glossary)","Date of First Enrollment into Study","Protocol CT 2024-03-29"
"C25370","C139020",,"Clinical Trial Attribute Terminology","Exclusion Criteria",,"List of characteristics in a protocol, any one of which makes a potential subject ineligible to participate in a study.","Exclusion Criteria","Protocol CT 2024-03-29"
"C25532","C139020",,"Clinical Trial Attribute Terminology","Inclusion Criteria",,"The criteria in a protocol that prospective subjects must meet to be eligible to participate in a study.","Inclusion Criteria","Protocol CT 2024-03-29"
"C127796","C139020",,"Clinical Trial Attribute Terminology","Planned Trial Duration","Planned Trial Duration","The approximate period of time over which the clinical trial is expected to occur.","Planned Trial Duration","Protocol CT 2024-03-29"
"C139168","C139020",,"Clinical Trial Attribute Terminology","Primary Sponsor Name",,"The name of the entity that is considered the primary sponsor for the trial or study. (NCI)","Primary Study Sponsor Name","Protocol CT 2024-03-29"
"C139169","C139020",,"Clinical Trial Attribute Terminology","Secondary Sponsor Name",,"The name of the entity that is considered the secondary sponsor for the trial or study. (NCI)","Secondary Study Sponsor Name","Protocol CT 2024-03-29"
"C139167","C139020",,"Clinical Trial Attribute Terminology","Source of Monetary or Material Support for Study",,"The major organizations providing monetary or material support for the conduct of the trial, including, but not limited to, funding, design, implementation, data analysis and reporting. (EudraCT)","Source of Monetary or Material Support for Study","Protocol CT 2024-03-29"
"C139172","C139020",,"Clinical Trial Attribute Terminology","Target Sample Size",,"The total number of planned participants in a study or trial.","Target Sample Size","Protocol CT 2024-03-29"
"C101302","C139020",,"Clinical Trial Attribute Terminology","Therapeutic Area","Therapeutic Area","A categorization of a disease, disorder, or other condition based on common characteristics and often associated with a medical specialty focusing on research and development of specific therapeutic interventions for the purpose of treatment and prevention.","Therapeutic Area","Protocol CT 2024-03-29"
"C15787","C139020",,"Clinical Trial Attribute Terminology","Trial Design",,"The detailed planning of a study of the safety, efficacy, or optimum dosage schedule (if appropriate) of one or more diagnostic, therapeutic, or prophylactic drugs, devices, or techniques selected according to predetermined criteria of eligibility and observed for predefined evidence of favorable and unfavorable effects. (NCI)","Clinical Trials Design","Protocol CT 2024-03-29"
"C112038","C139020",,"Clinical Trial Attribute Terminology","Trial Disease/Condition Indication","Indication for Use; Trial Disease/Condition Indication; Trial Disease/Condition Indication Description","The textual representation of the condition, disease or disorder that the clinical trial is intended to investigate or address.","Trial Indication","Protocol CT 2024-03-29"
"C49652","C139020",,"Clinical Trial Attribute Terminology","Trial Intent","Trial Intent Type","The planned purpose of the therapy, device, or agent under study in the clinical trial.","Clinical Study by Intent","Protocol CT 2024-03-29"
"C48281","C139020",,"Clinical Trial Attribute Terminology","Trial Phase","Trial Phase; Trial Phase Classification","A step in the clinical research and development of a therapy from initial clinical trials to post-approval studies. NOTE: Clinical trials are generally categorized into four (sometimes five) phases. A therapeutic intervention may be evaluated in two or more phases simultaneously in different trials, and some trials may overlap two different phases. [21 CFR section 312.21; After ICH Topic E8 NOTE FOR GUIDANCE ON GENERAL CONSIDERATIONS FOR CLINICAL TRIALS, CPMP/ICH/291/95 March 1998]","Trial Phase","Protocol CT 2024-03-29"
"C85826","C139020",,"Clinical Trial Attribute Terminology","Trial Primary Objective","Study Primary Objective; Trial Primary Objective","A principle objective of the study.","Trial Primary Objective","Protocol CT 2024-03-29"
"C139166","C139020",,"Clinical Trial Attribute Terminology","Trial Registration Indicator",,"An indication as to whether the clinical trial has been registered with a trial registry system.","Trial Registration Indicator","Protocol CT 2024-03-29"
"C85827","C139020",,"Clinical Trial Attribute Terminology","Trial Secondary Objective","Study Secondary Objective; Trial Secondary Objective","An auxiliary objective of the study.","Trial Secondary Objective","Protocol CT 2024-03-29"
"C85838","C139020",,"Clinical Trial Attribute Terminology","Trial Site","Investigative Site; Investigator Site","Any healthcare organization, institution, facility or provider directly involved in conducting or facilitating a particular clinical trial. (NCI)","Clinical Trial Site","Protocol CT 2024-03-29"
"C49660","C139020",,"Clinical Trial Attribute Terminology","Trial Type","Trial Scope; Trial Type","The nature of the interventional study for which information is being collected.","Trial Type","Protocol CT 2024-03-29"
"C170440",,,"Endpoint Attribute Terminology","Endpoint Attribute Terminology","Endpoint Attribute Terminology","A terminology value set relevant to the attributes of the endpoint entity.","CDISC Protocol Endpoint Attribute Terminology","Protocol CT 2024-03-29"
"C170557","C170440",,"Endpoint Attribute Terminology","Endpoint Type",,"A characterization or classification of the defined variable intended to reflect an outcome measure of interest that is statistically analyzed to address a particular research question.","Study Endpoint Type","Protocol CT 2024-03-29"
"C170558","C170440",,"Endpoint Attribute Terminology","Justification for Endpoint",,"The rationale or explanation for why each study endpoint was chosen.","Justification for Study Endpoint","Protocol CT 2024-03-29"
"C170441",,,"Endpoint Type Value Set Terminology","Endpoint Type Value Set Terminology","Endpoint Type Value Set Terminology","The terminology relevant to the type of endpoint for the study.","CDISC Protocol Endpoint Type Value Set Terminology","Protocol CT 2024-03-29"
"C170561","C170441",,"Endpoint Type Value Set Terminology","Composite Endpoint","Combined Endpoint","Endpoint(s) constructed from two or more endpoints that represents an overall clinically relevant measure of clinical benefit.","Composite Endpoint","Protocol CT 2024-03-29"
"C170560","C170441",,"Endpoint Type Value Set Terminology","Direct Endpoint",,"Endpoint(s) used in clinical studies to directly measure how a patient feels, functions, or survives. These endpoint(s) in themselves represent or characterize the clinical outcome of interest. (FDA: https://www.fda.gov/media/84987/download)","Direct Endpoint","Protocol CT 2024-03-29"
"C170559","C170441",,"Endpoint Type Value Set Terminology","Exploratory Endpoint",,"Endpoint(s) that may include clinically important events that are expected to occur too infrequently to show a treatment effect or endpoints that for other reasons are thought to be less likely to show an effect but are included to explore new hypotheses. (After FDA-NIH Protocol Template)","Exploratory Endpoint","Protocol CT 2024-03-29"
"C94496","C170441",,"Endpoint Type Value Set Terminology","Primary Endpoint",,"Endpoint(s) of greatest importance that is the basis for concluding whether the study met its objective(s) and provides a clinically relevant, valid, and reliable measure of the primary objective(s). (After FDA-NIH Protocol Template)","Primary Endpoint","Protocol CT 2024-03-29"
"C139173","C170441",,"Endpoint Type Value Set Terminology","Secondary Endpoint",,"Endpoint(s) that may provide supportive information about the effect of the study intervention(s) on the primary endpoint or demonstrate additional effects on the disease or condition. (After FDA-NIH Protocol Template)","Secondary Endpoint","Protocol CT 2024-03-29"
"C68772","C170441",,"Endpoint Type Value Set Terminology","Surrogate Endpoint",,"An endpoint that is used in clinical trials as a substitute for a direct measure of how a patient feels, functions, or survives. A surrogate endpoint does not measure the clinical benefit of primary interest in and of itself, but rather is expected to predict that clinical benefit or harm based on epidemiologic, therapeutic, pathophysiologic, or other scientific evidence. (NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource)","Surrogate Endpoint","Protocol CT 2024-03-29"
"C187682",,,"Expanded Access Attribute Terminology","Expanded Access Attribute Terminology","Expanded Access Attribute Terminology","A terminology value set relevant to the attributes of the expanded access entity.","CDISC Protocol Expanded Access Attribute Terminology","Protocol CT 2024-03-29"
"C187705","C187682",,"Expanded Access Attribute Terminology","Expanded Access Study Type",,"A characterization or classification of the studies that provide a means for obtaining an experimental drug or device for patients who are not adequately treated by existing therapy, who do not meet the eligibility criteria for enrollment, or who are otherwise unable to participate in another clinical study.","Expanded Access Study Type","Protocol CT 2024-03-29"
"C187683",,,"Expanded Access Study Type Value Set Terminology","Expanded Access Study Type Value Set Terminology","Expanded Access Study Type Value Set Terminology","The terminology relevant to the type of expanded access study.","CDISC Protocol Expanded Access Study Type Value Set Terminology","Protocol CT 2024-03-29"
"C187706","C187683",,"Expanded Access Study Type Value Set Terminology","Continued Access",,"Expanded access to an investigational medical product (drug, biologic, or medical device) for treatment use in subjects after the controlled clinical trial has been completed and while the marketing application is being prepared by the sponsor or reviewed by the regulator.","Continued Access Study","Protocol CT 2024-03-29"
"C182399","C187683",,"Expanded Access Study Type Value Set Terminology","Individual Patient IND","Individual Basis Treatment; Single Patient IND","Expanded access to an investigational medical product (drug, biologic, or medical device) for treatment use by a single patient submitted under a new Investigational New Drug (IND) application. (FDA: Expanded Access to Investigational Drugs for Treatment Use - Questions and Answers Guidance for Industry, June 2016)","Compassionate Single Patient Indicator","Protocol CT 2024-03-29"
"C187707","C187683",,"Expanded Access Study Type Value Set Terminology","Treatment IND","Expanded Access Treatment IND; Large Population Treatment IND","Expanded access to an investigational medical product (drug, biologic, or medical device) for treatment use by a large (widespread) population, submitted under a new Investigational New Drug (IND) application. (FDA: Expanded Access to Investigational Drugs for Treatment Use - Questions and Answers Guidance for Industry, June 2016)","Treatment Investigational New Drug Study","Protocol CT 2024-03-29"
"C184334",,,"Informed Consent Attribute Terminology","Informed Consent Attribute Terminology","Informed Consent Attribute Terminology","A terminology value set relevant to the attributes of the informed consent.","CDISC Protocol Informed Consent Attribute Terminology","Protocol CT 2024-03-29"
"C161418","C184334",,"Informed Consent Attribute Terminology","Assent","Informed Assent","Assent given by a minor or adult who is unable to give informed consent on their own behalf, to participate in a clinical trial. Assent must be accompanied by consent from a parent or legal guardian for full participation in the study.","Informed Assent","Protocol CT 2024-03-29"
"C16468","C184334",,"Informed Consent Attribute Terminology","Informed Consent Form","Informed Consent Document","A formal document used during the informed consent process explaining the potential risks and benefits of participation in a study and the rights and responsibilities of the parties involved, in a manner that is understandable to the subject or their legally authorized representative.","Consent Form","Protocol CT 2024-03-29"
"C184390","C184334",,"Informed Consent Attribute Terminology","Informed Consent Process","Informed Consent Procedure","The procedure by which informed consent is obtained and documented by means of a written, signed, and dated informed consent form. This process may include obtaining assent from subjects with legally authorized representatives. (ICH GCP)","Informed Consent Process","Protocol CT 2024-03-29"
"C177906",,,"Ingredient Attribute Terminology","Ingredient Attribute Terminology","Ingredient Attribute Terminology","A terminology value set relevant to the attributes of the ingredient.","CDISC Protocol Ingredient Attribute Terminology","Protocol CT 2024-03-29"
"C177929","C177906",,"Ingredient Attribute Terminology","Drug Product Component","Component","Any ingredient intended for use in the manufacture of a drug product, including those that may not appear in such drug product. (FDA 21 CFR 314.3(a))","Drug Product Component","Protocol CT 2024-03-29"
"C177928","C177906",,"Ingredient Attribute Terminology","Ingredient Type",,"A characterization or classification of the component that constitutes a part of a compound or mixture.","Ingredient Type","Protocol CT 2024-03-29"
"C177907",,,"Ingredient Type Value Set Terminology","Ingredient Type Value Set Terminology","Ingredient Type Value Set Terminology","The terminology relevant to the identification of the kind of ingredient.","CDISC Protocol Ingredient Type Value Set Terminology","Protocol CT 2024-03-29"
"C82533","C177907",,"Ingredient Type Value Set Terminology","Active Ingredient",,"Any component of a drug product intended to exert pharmacological activity or other direct effect in the diagnosis, cure, mitigation, treatment, or prevention of disease, or to affect the structure or any function of the body of humans or other animals. (After 21 CFR 210.3(b)(7))","Active Ingredient","Protocol CT 2024-03-29"
"C42637","C177907",,"Ingredient Type Value Set Terminology","Inactive Ingredient","Inert Ingredient","Any component of a study product other than an active ingredient. (After FDA 21 CFR 210.3(b)(8))","Pharmaceutical Excipient","Protocol CT 2024-03-29"
"C177905",,,"Intervention Attribute Terminology","Intervention Attribute Terminology","Intervention Attribute Terminology","A terminology value set relevant to the attributes of the intervention.","CDISC Protocol Intervention Attribute Terminology","Protocol CT 2024-03-29"
"C177931","C177905",,"Intervention Attribute Terminology","Intervention Description",,"The textual representation of the study intervention.","Intervention Description","Protocol CT 2024-03-29"
"C177930","C177905",,"Intervention Attribute Terminology","Intervention Name",,"The identifying name for the study intervention.","Intervention Name","Protocol CT 2024-03-29"
"C98747","C177905",,"Intervention Attribute Terminology","Intervention Type","Intervention Type","The kind of product or procedure studied in a trial.","Intervention Type","Protocol CT 2024-03-29"
"C99076",,"Yes","Intervention Model Response","INTMODEL","Intervention Model Response","A terminology codelist relevant to the trial design developed to compare treatment groups.","CDISC SDTM Intervention Model Terminology","Protocol CT 2024-03-29"
"C82637","C99076",,"Intervention Model Response","CROSS-OVER",,"Participants receive one of two or more alternative intervention(s) during the initial epoch of the study and receive other intervention(s) during the subsequent epoch(s) of the study.","Crossover Study","Protocol CT 2024-03-29"
"C82638","C99076",,"Intervention Model Response","FACTORIAL",,"Two or more interventions, each alone or in combination, are evaluated in parallel against a control group. This study design allows for the comparison of active drug to placebo, presence of drug-drug interactions, and comparison of active drugs against each other.","Factorial Study","Protocol CT 2024-03-29"
"C82639","C99076",,"Intervention Model Response","PARALLEL",,"Participants are assigned to one of two or more treatment groups in parallel for the duration of the study.","Parallel Study","Protocol CT 2024-03-29"
"C142568","C99076",,"Intervention Model Response","SEQUENTIAL",,"Groups of participants are assigned to receive interventions based on prior milestones being reached in the study. (clinicaltrials.gov)","Group Sequential Design","Protocol CT 2024-03-29"
"C82640","C99076",,"Intervention Model Response","SINGLE GROUP",,"All trial participants are assigned to a single treatment group for the duration of the study.","Single Group Study","Protocol CT 2024-03-29"
"C99078",,"No","Intervention Type Response","INTTYPE","Intervention Type Response","A terminology codelist relevant to the kind of product or procedure studied in a trial.","CDISC SDTM Intervention Type Terminology","Protocol CT 2024-03-29"
"C15184","C99078",,"Intervention Type Response","BEHAVIORAL THERAPY",,"A technique used to change the behavior of a subject (e.g., psychotherapy, lifestyle counseling, or hypnosis).","Behavioral Intervention","Protocol CT 2024-03-29"
"C307","C99078",,"Intervention Type Response","BIOLOGIC",,"A product of biological origin applicable to the prevention, treatment, or cure of a disease or condition, for example: virus, therapeutic serum, toxin, antitoxin, vaccine, blood, blood component or derivative, allergenic product, or analogous product. (FDA 21 CFR 600.3)","Biological Agent","Protocol CT 2024-03-29"
"C54696","C99078",,"Intervention Type Response","COMBINATION PRODUCT",,"A product composed of two or more different types of medical products (i.e., a combination of a drug, device, and/or biological product with one another and are referred to as ""constituent parts"" of the combination product). NOTE: A combination product might be a single-entity product, a co-packaged product or a cross-labeled product. [After 21 CFR 3.2 (e)] (CDISC Glossary)","Combination Product","Protocol CT 2024-03-29"
"C16830","C99078",,"Intervention Type Response","DEVICE","Medical Device","Any instrument, apparatus, implement, machine, appliance, implant, reagent for in vitro use, software, material or other similar or related article, intended by the manufacturer to be used, alone or in combination for, one or more specific medical purpose(s). [After REGULATION (EU) 2017/745 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 5 April 2017 on medical devices]","Medical Device","Protocol CT 2024-03-29"
"C18020","C99078",,"Intervention Type Response","DIAGNOSTIC TEST",,"Any procedure or test used to diagnose a disease or disorder.","Diagnostic Procedure","Protocol CT 2024-03-29"
"C1505","C99078",,"Intervention Type Response","DIETARY SUPPLEMENT",,"Preparations containing ingredient(s) intended to supplement the diet.","Dietary Supplement","Protocol CT 2024-03-29"
"C1909","C99078",,"Intervention Type Response","DRUG",,"An active natural, synthetic or semi-synthetic ingredient including endogenous body substance that is intended to furnish pharmacological activity or other direct effect in the diagnosis, cure, mitigation, treatment, or prevention of disease or to affect the structure or any function of the human body, but does not include intermediates used in the synthesis of such ingredient (21 CFR 314.3(b)).","Pharmacologic Substance","Protocol CT 2024-03-29"
"C15238","C99078",,"Intervention Type Response","GENETIC","Gene Therapy","Introduction of genetic material into cells in order to correct or treat an inherited or acquired disease.","Gene Therapy","Protocol CT 2024-03-29"
"C17649","C99078",,"Intervention Type Response","OTHER","Other","Different than the one(s) previously specified or mentioned. (NCI)","Other","Protocol CT 2024-03-29"
"C98769","C99078",,"Intervention Type Response","PROCEDURE","Medical Procedure","Any activity performed by manual and/or instrumental means for the purpose of diagnosis, assessment, therapy, prevention, or palliative care.","Physical Medical Procedure","Protocol CT 2024-03-29"
"C15313","C99078",,"Intervention Type Response","RADIATION","Radiation Therapy; Radiotherapy","Use of targeted or whole body radiation to treat a disease.","Radiation Therapy","Protocol CT 2024-03-29"
"C66742",,"No","No Yes Response","NY","No Yes Response","A term that is used to indicate a question with permissible values of yes/no/unknown/not applicable.","CDISC SDTM Yes No Unknown or Not Applicable Response Terminology","Protocol CT 2024-03-29"
"C49487","C66742",,"No Yes Response","N","No","The non-affirmative response to a question. (NCI)","No","Protocol CT 2024-03-29"
"C48660","C66742",,"No Yes Response","NA","NA; Not Applicable","Determination of a value is not relevant in the current context. (NCI)","Not Applicable","Protocol CT 2024-03-29"
"C17998","C66742",,"No Yes Response","U","U; UNK; Unknown","Not known, not observed, not recorded, or refused. (NCI)","Unknown","Protocol CT 2024-03-29"
"C49488","C66742",,"No Yes Response","Y","Yes","The affirmative response to a question. (NCI)","Yes","Protocol CT 2024-03-29"
"C127259",,"Yes","Observational Study Model","OBSSMO","Observational Study Model","The terminology relevant to the trial design for observational studies.","CDISC SDTM Observational Study Model Terminology","Protocol CT 2024-03-29"
"C15197","C127259",,"Observational Study Model","CASE CONTROL",,"A study that compares groups of people with generally similar characteristics, those with the condition under study (case) and those without the condition under study (control).","Case-Control Study","Protocol CT 2024-03-29"
"C127779","C127259",,"Observational Study Model","CASE CROSSOVER",,"A study in which the subject characteristics of the case, immediately prior to disease onset (sometimes called the hazard period), are compared to characteristics of same case at a prior time (i.e., control period). (ClinicalTrials.gov)","Observational Case-Crossover Study","Protocol CT 2024-03-29"
"C15362","C127259",,"Observational Study Model","CASE ONLY",,"A study in which the subject with the condition under study (the case) is compared against a theoretical/historical model of distribution that serves as a control.","Case Study","Protocol CT 2024-03-29"
"C15208","C127259",,"Observational Study Model","COHORT",,"A study in which subjects are grouped based on a predefined personal or administrative characteristic.","Cohort Study","Protocol CT 2024-03-29"
"C127780","C127259",,"Observational Study Model","ECOLOGIC OR COMMUNITY",,"A study in which geographically distinct study populations are compared with respect to a particular outcome.","Ecologic or Community Based Study","Protocol CT 2024-03-29"
"C15407","C127259",,"Observational Study Model","FAMILY BASED",,"A study in which related or non-related family members are compared with respect to a particular outcome.","Family Study","Protocol CT 2024-03-29"
"C165641",,,"Outcome Measure Attribute Terminology","Outcome Measure Attribute Terminology","Outcome Measure Attribute Terminology","A terminology value set relevant to the attributes of the outcome measure entity.","CDISC Protocol Outcome Measure Attribute Terminology","Protocol CT 2024-03-29"
"C165138","C165641",,"Outcome Measure Attribute Terminology","Outcome Measure Description",,"A full description of the outcome measure.","Study Outcome Measure Description","Protocol CT 2024-03-29"
"C165859","C165641",,"Outcome Measure Attribute Terminology","Outcome Measure Time Frame",,"The period of time over which the study outcome measure is assessed.","Outcome Measure Time Frame","Protocol CT 2024-03-29"
"C165860","C165641",,"Outcome Measure Attribute Terminology","Outcome Measure Title",,"The descriptive name of the outcome measure.","Outcome Measure Title","Protocol CT 2024-03-29"
"C165861","C165641",,"Outcome Measure Attribute Terminology","Outcome Measure Type",,"A characterization or classification of the specific key measurement(s) or observation(s) used to measure the effect of experimental variables on the participants in a study, or for observational studies, to describe patterns of diseases or traits or associations with exposures, risk factors or treatment.","Outcome Measure Type","Protocol CT 2024-03-29"
"C170442",,,"Outcome Measure Type Value Set Terminology","Outcome Measure Type Value Set Terminology","Outcome Measure Type Value Set Terminology","The terminology relevant to the type of outcome measure for the study.","CDISC Protocol Outcome Measure Type Value Set Terminology","Protocol CT 2024-03-29"
