"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","Described Value Domain","Role","Variables Qualified","Usage Restrictions","Variable C-Code","Definition","Notes","Examples"
"SDTM v2.0","31","General Observations",,"--ENDY","Study Day of End of Observation","Num",,"Timing","",,"C170995","The number of days from the sponsor-defined reference start date to the end of an intervention, event, or finding (--ENDTC), used for study data tabulation.","The sponsor-defined reference start date is RFSTDTC in Demographics.",
"SDTM v2.0","32","General Observations",,"--NOMDY","Nominal Study Day for Tabulations","Num",,"Timing","","Not in human clinical trials","C170498","The nominal study day, relative to the sponsor-defined reference start date, used by data collection and reporting systems for grouping records for observations that may be scheduled to occur on different days into a single study day (e.g., for output on a tabulation report).",,
"SDTM v2.0","33","General Observations",,"--NOMLBL","Label for Nominal Study Day","Char",,"Timing","","Not in human clinical trials","C170499","The name for a protocol-defined nominal study day.","As presented in the study report.",
"SDTM v2.0","34","General Observations",,"--RPDY","Actual Repro Phase Day of Observation","Num",,"Timing","","Not in human clinical trials","C170504","The day within the reproductive phase on which the test or observation occurred.","Expressed as an integer.",
"SDTM v2.0","35","General Observations",,"--RPSTDY","Actual Repro Phase Day of Obs Start","Num",,"Timing","","Not in human clinical trials","C170509","The day within the reproductive phase on which the test or observation began.","Expressed as an integer.",
"SDTM v2.0","36","General Observations",,"--RPENDY","Actual Repro Phase Day of Obs End","Num",,"Timing","","Not in human clinical trials","C170505","The day within the reproductive phase on which the test or observation ended.","Expressed as an integer.",
"SDTM v2.0","37","General Observations",,"--XDY","Day of Obs Relative to Exposure","Num",,"Timing","",,,,"The actual study day of an intervention, event, or finding, derived relative to the first exposure to any protocol-specified treatment. Expressed in integer days relative to RFXSTDTC in Demographics.",
"SDTM v2.0","38","General Observations",,"--XSTDY","Start Day of Obs Relative to Exposure","Num",,"Timing","","Not in Findings class domains",,,"The actual study day of the start of an intervention or event, derived relative to the first exposure to any protocol-specified treatment. Expressed in integer days relative to RFXSTDTC in Demographics.",
"SDTM v2.0","39","General Observations",,"--XENDY","End Day of Obs Relative to Exposure","Num",,"Timing","",,,,"The actual study day of the end of an intervention, event, or finding, derived relative to the first exposure to any protocol-specified treatment. Expressed in integer days relative to RFXSTDTC in Demographics.",
"SDTM v2.0","40","General Observations",,"--CHDY","Day of Obs Rel to Challenge Agent","Num",,"Timing","",,,,"The actual study day of an intervention, event, or finding, derived relative to the first exposure to the challenge agent that induces the disease or condition that the investigational treatment is intended to cure, mitigate, treat, or prevent. Expressed in integer days relative to RFCSTDTC in Demographics.",
"SDTM v2.0","41","General Observations",,"--CHSTDY","Start Day of Obs Rel to Challenge Agent","Num",,"Timing","","Not in Findings class domains",,,"The actual study day of the start of an intervention or event derived relative to the first exposure to the challenge agent that induces the disease or condition that the investigational treatment is intended to c ure, mitigate, treat, or prevent. Expressed in integer days relative to RFCSTDTC in Demographics.",
"SDTM v2.0","42","General Observations",,"--CHENDY","End Day of Obs Rel to Challenge Agent","Num",,"Timing","",,,,"The actual study day of the end of an intervention, event, or finding derived relative to the first exposure to the challenge agent that induces the disease or condition that the investigational treatment is intended to cure, mitigate, treat, or prevent. Expressed in integer days relative to RFCSTDTC in Demographics.",
"SDTM v2.0","43","General Observations",,"--DUR","Collected Duration","Char","ISO 8601 duration","Timing","",,"C170992","The collected length of time during which an observation continues, represented in a standardized character format.","Used only if collected on the CRF and not derived.",
"SDTM v2.0","44","General Observations",,"--TPT","Planned Time Point Name","Char",,"Timing","",,"C171029","The description of the time when a protocol-defined activity is planned to occur, used for study data tabulation.","This may be represented as an elapsed time relative to a fixed reference point (e.g., time since last dose). See --TPTNUM and --TPTREF.","""PREDOSE"", ""1 HOUR POST-DOSE"""
"SDTM v2.0","45","General Observations",,"--TPTNUM","Planned Time Point Number","Num",,"Timing","",,"C82545","The numeric identifier of when an observation is planned to occur.","Used in sorting.",
"SDTM v2.0","46","General Observations",,"--ELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601 duration","Timing","",,"C170994","The interval of time between a planned time point and a fixed reference point, represented in a standardized character format.","The fixed reference point is in --TPTREF. This variable is useful where there are repetitive measures. Not a clock time or a date/time variable, but an interval.",
"SDTM v2.0","47","General Observations",,"--TPTREF","Time Point Reference","Char",,"Timing","",,"C171030","The description of a time point that acts as a fixed reference for a series of planned time points, used for study data tabulation.","Description of the fixed reference point referred to by --ELTM, --TPTNUM, --TPT, --STINT, and --ENINT.","""PREVIOUS DOSE"", ""PREVIOUS MEAL"""
"SDTM v2.0","48","General Observations",,"--RFTDTC","Date/Time of Reference Time Point","Char","ISO 8601 datetime or interval","Timing","",,"C82518","The actual date or date and time of a time point that acts as a fixed reference for a series of planned time points, represented in a standardized character format.","The fixed reference point is in --TPTREF.",
"SDTM v2.0","49","General Observations",,"--STRF","Start Relative to Reference Period","Char",,"Timing","",,"C82559","The characterization of the start of an observation relative to the study reference period.","The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point represented by RFSTDTC and RFENDTC in Demographics.",
"SDTM v2.0","50","General Observations",,"--ENRF","End Relative to Reference Period","Char",,"Timing","",,"C82557","The characterization of the end of an observation relative to the study reference period.","The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point represented by RFSTDTC and RFENDTC in Demographics.",
"SDTM v2.0","51","General Observations",,"--EVLINT","Evaluation Interval","Char","ISO 8601 duration or interval","Timing","",,"C82534","The planned time interval for which an observation is assessed, represented in a standardized character format.","Usually used with --DTC to describe an interval of this duration that ended at the time represented in --DTC.","-P2M to represent a period of the past 2 months as the evaluation interval for a question from a questionnaire."
"SDTM v2.0","52","General Observations",,"--EVINTX","Evaluation Interval Text","Char",,"Timing","",,"C117044","A textual description of the planned time interval for which an observation is assessed, where the interval is not able to be represented in a standardized character format.","A value that cannot be represented in ISO 8601 format.","""LIFETIME"", ""LAST NIGHT"", ""RECENTLY"", ""OVER THE LAST FEW WEEKS"""
"SDTM v2.0","53","General Observations",,"--STRTPT","Start Relative to Reference Time Point","Char",,"Timing","",,"C82560","The characterization of the start of an observation relative to a reference time point.","The sponsor-defined reference time point is in --STTPT.",
"SDTM v2.0","54","General Observations",,"--STTPT","Start Reference Time Point","Char",,"Timing","",,"C82575","The description or date and/or time of a time point that acts as a fixed reference for characterizing the start of an observation.","This is the sponsor-defined reference point referred to by --STRTPT.","""2003-12-15"", ""VISIT 1"""
"SDTM v2.0","55","General Observations",,"--ENRTPT","End Relative to Reference Time Point","Char",,"Timing","",,"C82558","The characterization of the end of an observation relative to a reference time point.","The sponsor-defined reference time point is in --ENTPT.",
"SDTM v2.0","56","General Observations",,"--ENTPT","End Reference Time Point","Char",,"Timing","",,"C82574","The description or date and/or time of a time point that acts as a fixed reference for characterizing the end of an observation.","This is the sponsor-defined reference point referred to by --ENRTPT.","""2003-12-25"", ""VISIT 2"""
"SDTM v2.0","57","General Observations",,"MIDS","Disease Milestone Instance Name","Char",,"Timing","",,,,"The name of a specific instance of a Disease Milestone Type (MIDSTYPE) described in the Trial Disease Milestones dataset (see Section 5.1.4.3, Trial Disease Milestones). This should be unique within a subject. Used only in conjunction with RELMIDS and MIDSDTC.",
"SDTM v2.0","58","General Observations",,"RELMIDS","Temporal Relation to Milestone Instance","Char",,"Timing","",,,,"The temporal relationship of the observation to the Disease Milestone Instance Name in MIDS.","""IMMEDIATELY BEFORE"", ""AT TIME OF"", ""AFTER"""
"SDTM v2.0","59","General Observations",,"MIDSDTC","Disease Milestone Instance Date/Time","Char","ISO 8601 datetime or interval","Timing","",,,,"The start date/time of the Disease Milestone Instance Name in MIDS.",
"SDTM v2.0","60","General Observations",,"--STINT","Planned Start of Assessment Interval","Char","ISO 8601 duration","Timing","",,"C117061","The start of a planned assessment interval relative to a reference time point, represented in a standardized character format.","The reference time point is in --TPTREF. As this variable describes planned timing of an assessment, caution should be exercised when using outside of the Findings class of domains. In an Events or Interventions domain, it may refer to the interval over which --OCCUR is assessed.",
"SDTM v2.0","61","General Observations",,"--ENINT","Planned End of Assessment Interval","Char","ISO 8601 duration","Timing","",,"C117042","The end of a planned assessment interval relative to a reference time point, represented in a standardized character format.","The reference time point is in --TPTREF. As this variable describes planned timing of an assessment, caution should be exercised when using outside of the Findings class of domains. In an Events or Interventions domain, it may refer to the interval over which --OCCUR is assessed.",
"SDTM v2.0","62","General Observations",,"--DETECT","Time in Days to Detection","Num",,"Timing","","Not in human clinical trials","C117041","The number of days from the start of dosing to the earliest detection of a condition or pathogen.",,
"SDTM v2.0","63","General Observations",,"--PTFL","Point in Time Flag","Char",,"Timing","","Only in Findings class specimen-based domains: BS, CP, GF, IS, LB, MB, MS, MI, PC, PP",,,"An indication that the specimen was collected at a single point in time. The value is ""Y"" or null.",
"SDTM v2.0","64","General Observations",,"--PDUR","Planned Duration","Char","ISO 8601 duration","Timing","","Only in Findings class specimen-based domains: BS, CP, GF, IS, LB, MB, MS, MI, PC, PP",,,"Planned duration of a finding. For a sample-based finding, this could apply to the planned duration of specimen collection.",
"SDTM v2.0","1","Interventions",,"--TRT","Name of Treatment","Char",,"Topic","",,"C82542","The reported name of the drug, procedure, or therapy.","The topic for the intervention observation, usually the verbatim name of the treatment, drug, medicine, or therapy given during the dosing interval for the observation.",
"SDTM v2.0","2","Interventions",,"--MODIFY","Modified Treatment Name","Char",,"Synonym Qualifier","--TRT",,"C170998","A value which represents an alteration to a collected value for coding purposes.","If the value for --TRT is modified for coding purposes, then the modified text is placed here.",
"SDTM v2.0","3","Interventions",,"--DECOD","Standardized Treatment Name","Char",,"Synonym Qualifier","--TRT",,"C170991","Standardized or dictionary-derived text for the description of an event or intervention.","Equivalent to the generic drug name in WHODrug, or a term in SNOMED, ICD-9, or other published or sponsor-defined dictionaries.",
"SDTM v2.0","4","Interventions",,"--MOOD","Mood","Char",,"Record Qualifier","",,"C117051","The state that may be applied to a record to indicate its phase in a life cycle or business process (e.g., scheduled, performed).",,"""SCHEDULED"", ""PERFORMED"""
"SDTM v2.0","5","Interventions",,"--CAT","Category","Char",,"Grouping Qualifier","",,"C25372","A grouping or classification of the topic of the finding, event, or intervention.",,
"SDTM v2.0","6","Interventions",,"--SCAT","Subcategory","Char",,"Grouping Qualifier","",,,"A further grouping or classification of the category for the topic of the finding, event, or intervention.","The category is in --CAT.",
"SDTM v2.0","7","Interventions",,"--PRESP","Pre-Specified","Char",,"Variable Qualifier","--TRT","Not in nonclinical trials","C82510","An indication that the event or intervention was prospectively stated or detailed on the CRF.","Values should be ""Y"" or null.",
"SDTM v2.0","8","Interventions",,"--OCCUR","Occurrence Indicator","Char",,"Record Qualifier","",,"C171000","An indication as to whether a prespecified event or intervention has occurred.",,
"SDTM v2.0","9","Interventions",,"--REASOC","Reason for Occur Value","Char",,"Record Qualifier","",,,,"--REASOC is the reason the intervention did or did not occur, according to the value in --OCCUR. This does not replace --INDC.",
"SDTM v2.0","10","Interventions",,"--STAT","Completion Status","Char",,"Record Qualifier","",,,,"Used to indicate when a question about the occurrence of a prespecified intervention was not answered. Should be null or have a value of ""NOT DONE"".",
"SDTM v2.0","11","Interventions",,"--REASND","Reason Not Done","Char",,"Record Qualifier","",,"C82556","The explanation for why requested information was not available.","Used in conjunction with --STAT when value is ""NOT DONE"".",
"SDTM v2.0","12","Interventions",,"--CNTMOD","Contact Mode","Char",,"Record Qualifier","",,,,"The way in which the event, visit, or contact was conducted.",
"SDTM v2.0","13","Interventions",,"--EPCHGI","Epi/Pandemic Related Change Indicator","Char",,"Record Qualifier","",,,,"Indicates whether the intervention was changed due to an epidemic or pandemic.",
"SDTM v2.0","14","Interventions",,"--INDC","Indication","Char",,"Record Qualifier","",,"C41184","The sign, symptom, or condition that is the basis for initiation of a treatment.",,
"SDTM v2.0","15","Interventions",,"--CLAS","Class","Char",,"Variable Qualifier","--TRT",,"C170987","A standardized or dictionary-derived name for a grouping of drugs, procedures, or therapies.",,
"SDTM v2.0","16","Interventions",,"--CLASCD","Class Code","Char",,"Variable Qualifier","--TRT",,"C170988","A standardized or dictionary-derived short sequence of characters used to represent a grouping of drugs, procedures, or therapies.","Used to represent code for --CLAS.",
"SDTM v2.0","17","Interventions",,"--DOSE","Dose","Num",,"Record Qualifier","",,"C25488","The quantity of an agent (e.g., drug, substance, radiation) taken or absorbed at a single administration.","Not populated when --DOSTXT is populated.",
"SDTM v2.0","18","Interventions",,"--DOSTXT","Dose Description","Char",,"Record Qualifier","",,"C70961","A textual description of the quantity of an agent (e.g., drug, substance, radiation) taken or absorbed at a single administration.","Not populated when --DOSE is populated.","200-400"
"SDTM v2.0","19","Interventions",,"--DOSU","Dose Units","Char",,"Variable Qualifier","--DOSE; --DOSTXT; --DOSTOT",,"C73558","The unit of measure for the administered agent (e.g., drug, substance, radiation), using standardized values.","Units for --DOSE, --DOSTOT, or --DOSTXT.","""ng"", ""mg"", ""mg/kg"""
"SDTM v2.0","20","Interventions",,"--TDOSD","Toxic/Physiologic Dose Descr","Char",,"Record Qualifier","",,,,"A description of a statistically derived estimate of a dose with a certain toxicological or physiological effect in a population, based on data from a dose-response study.","""LD50"", ""ED90"""
"SDTM v2.0","21","Interventions",,"--FTDOSD","Factor for Toxic/Physiologic Dose Descr","Num",,"Variable Qualifier","--TDOSD",,,,"The quantity given for the multiplier of --TDOSD.","If --TDOSD=""LD50"" and --FTDOSD=""5"", then the value represented by --DOSE and --DOSU is 5 times the LD50."
"SDTM v2.0","22","Interventions",,"--DOSFRM","Dose Form","Char",,"Variable Qualifier","--TRT",,"C42636","Physical characteristics of a drug product, (e.g., tablet, capsule, or solution) that contains a drug substance, generally (but not necessarily) in association with one or more other ingredients.",,"""TABLET"", ""CAPSULE"""
"SDTM v2.0","23","Interventions",,"--DOSFRQ","Dosing Frequency per Interval","Char",,"Record Qualifier","",,"C15682","The number of times that an agent (e.g., drug, substance, radiation) is administered per unit of time.",,"""Q2H"", ""QD"", ""PRN"""
"SDTM v2.0","24","Interventions",,"--DOSTOT","Total Daily Dose","Num",,"Record Qualifier","",,"C70888","The quantity of an agent (e.g., drug, substance, radiation) taken or absorbed on a single day.","Uses the units in --DOSU.",
"SDTM v2.0","25","Interventions",,"--DOSRGM","Intended Dose Regimen","Char",,"Record Qualifier","",,"C71137","The planned schedule for the administration of an agent (e.g., drug, substance, radiation).",,"""TWO WEEKS ON, TWO WEEKS OFF"""
"SDTM v2.0","26","Interventions",,"--ROUTE","Route of Administration","Char",,"Record Qualifier","",,"C38114","Designation of the part of the body through which or into which, or the way in which, a substance is introduced.",,"""ORAL"", ""INTRAVENOUS"""
"SDTM v2.0","27","Interventions",,"--LOT","Lot Number","Char",,"Record Qualifier","",,"C70848","An identifier assigned by the manufacturer or distributor to a specific quantity of manufactured material or product.","Although the identifier for a lot is generally called a lot number, it may contain characters other than digits (e.g., letters).",
"SDTM v2.0","28","Interventions",,"--LOC","Location of Administration","Char",,"Record Qualifier","",,,,"Anatomical location of an intervention, such as an injection site.","ARM for an injection"
"SDTM v2.0","29","Interventions",,"--METHOD","Method of Administration","Char",,"Record Qualifier","","Not in human clinical trials; EX domain only",,"Method of administration of the treatment.",,"INFUSION when ROUTE is ""INTRAVENOUS"" \n"
"SDTM v2.0","30","Interventions",,"--LAT","Laterality","Char",,"Variable Qualifier","--LOC",,,,"Qualifier for anatomical location further detailing laterality of intervention administration.","""RIGHT"", ""LEFT"", ""BILATERAL"""
"SDTM v2.0","31","Interventions",,"--DIR","Directionality","Char",,"Variable Qualifier","--LOC",,,,"Qualifier for anatomical location further detailing directionality of intervention administration.","""ANTERIOR"", ""LOWER"", ""PROXIMAL"""
"SDTM v2.0","32","Interventions",,"--PORTOT","Portion or Totality","Char",,"Variable Qualifier","--LOC",,,,"Qualifier for anatomical location further detailing the distribution, which means arrangement of or apportioning of the intervention administration.","""ENTIRE"", ""SINGLE"", ""SEGMENT"", ""MANY"""
"SDTM v2.0","33","Interventions",,"--FAST","Fasting Status","Char",,"Record Qualifier","",,"C93566","An indication as to whether a subject has abstained from food and liquid for a prescribed amount of time.","Valid values include ""Y"", ""N"", ""U"", or null if not relevant.",
"SDTM v2.0","34","Interventions",,"--PSTRG","Pharmaceutical Strength","Num",,"Record Qualifier","",,"C53294","The amount of active ingredient per unit of pharmaceutical dosage form.",,"""50"", ""300"""
"SDTM v2.0","35","Interventions",,"--PSTRGU","Pharmaceutical Strength Units","Char",,"Variable Qualifier","--PSTRG",,"C117055","The unit of measure for the amount of active ingredient per unit of pharmaceutical dosage form, using standardized values.","Unit for --PSTRG.","""mg/TABLET"", ""mg/mL"""
"SDTM v2.0","36","Interventions",,"--TRTV","Treatment Vehicle","Char",,"Record Qualifier","",,"C927","A carrier or inert medium in which a medicinally active agent is administered.",,"SALINE"
"SDTM v2.0","37","Interventions",,"--VAMT","Treatment Vehicle Amount","Num",,"Record Qualifier","",,"C82553","Amount of the prepared product (treatment plus vehicle) administered.","Note: Should not be diluent amount alone.",
"SDTM v2.0","38","Interventions",,"--VAMTU","Treatment Vehicle Amount Units","Char",,"Variable Qualifier","--VAMT",,"C82583","The unit of measure for the prepared product (treatment plus vehicle) using standardized values.",,"""mL"", ""mg"""
"SDTM v2.0","39","Interventions",,"--ADJ","Reason for Dose Adjustment","Char",,"Record Qualifier","",,"C82555","The explanation given for why a dose was changed as compared to a previous dose.",,"""ADVERSE EVENT"", ""INSUFFICIENT RESPONSE"", ""NON-MEDICAL REASON"""
"SDTM v2.0","40","Interventions",,"--RSDISC","Reason for Treatment Discontinuation","Char",,"Record Qualifier","",,,,"Reason the treatment was discontinued.",
"SDTM v2.0","41","Interventions",,"--USCHFL","Unscheduled Flag","Char",,"Record Qualifier","","Not in human clinical trials","C170510","An indication that the performed test or observation was done at a time that was not planned.","If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are ""Y"" or null. This variable would not be needed when information on planned assessments is provided, such as when the Trial Visits (TV) and Subject Visits (SV) domains are used.",
"SDTM v2.0","42","Interventions",,"--RSTIND","Restraint Indicator","Char",,"Record Qualifier","","Not in human clinical trials",,,"An indicator as to whether the animal subject was restrained during the intervention period. Expected values are ""Y"" or null.",
"SDTM v2.0","43","Interventions",,"--RSTMOD","Restraint Mode","Char",,"Record Qualifier","","Not in human clinical trials",,,"A description of whether the restraint was physical and/or chemical.",
"SDTM v2.0","1","Events",,"--TERM","Reported Term","Char",,"Topic","",,"C82571","The collected name for an event observation.","The verbatim or prespecified name of the event.",
"SDTM v2.0","2","Events",,"--MODIFY","Modified Reported Term","Char",,"Synonym Qualifier","--TERM",,"C170998","A value which represents an alteration to a collected value for coding.","If the value for --TERM is modified for coding purposes, then the modified text is placed here.",
"SDTM v2.0","3","Events",,"--LLT","Lowest Level Term","Char",,"Variable Qualifier","--TERM","Not in nonclinical trials","C71886","The lowest-level term assigned to the event from MedDRA.",,
"SDTM v2.0","4","Events",,"--LLTCD","Lowest Level Term Code","Num",,"Variable Qualifier","--LLT","Not in nonclinical trials","C117048","The lowest-level term code assigned to the event from MedDRA.",,
"SDTM v2.0","5","Events",,"--DECOD","Dictionary-Derived Term","Char",,"Synonym Qualifier","--TERM",,"C170991","Standardized or dictionary-derived text for the description of an event or intervention.","Equivalent to the Preferred Term (""PT"" in MedDRA).",
"SDTM v2.0","6","Events",,"--EVDTYP","Medical History Event Date Type","Char",,"Variable Qualifier","","MH domain only",,,"Specifies the aspect of the medical condition or event by which MHSTDTC and/or the MHENDTC is defined.","""DIAGNOSIS"", ""SYMPTOM ONSET"", ""DISEASE RELAPSE"""
"SDTM v2.0","7","Events",,"--PTCD","Preferred Term Code","Num",,"Variable Qualifier","--DECOD","Not in nonclinical trials","C117056","The preferred term code assigned to the event from the MedDRA dictionary.",,
"SDTM v2.0","8","Events",,"--HLT","High Level Term","Char",,"Variable Qualifier","--TERM","Not in nonclinical trials","C71880","The high-level term from the primary hierarchy assigned to the event from MedDRA.",,
"SDTM v2.0","9","Events",,"--HLTCD","High Level Term Code","Num",,"Variable Qualifier","--HLT","Not in nonclinical trials","C117047","The high-level term code from the primary hierarchy assigned to the event from MedDRA.",,
"SDTM v2.0","10","Events",,"--HLGT","High Level Group Term","Char",,"Variable Qualifier","--TERM","Not in nonclinical trials","C71889","The high-level group term from the primary hierarchy assigned to the event from MedDRA.",,
"SDTM v2.0","11","Events",,"--HLGTCD","High Level Group Term Code","Num",,"Variable Qualifier","--HLGT","Not in nonclinical trials","C117046","The high-level group term code from the primary hierarchy assigned to the event from MedDRA.",,
"SDTM v2.0","12","Events",,"--CAT","Category","Char",,"Grouping Qualifier","",,"C25372","A grouping or classification of the topic of the finding, event, or intervention.",,
"SDTM v2.0","13","Events",,"--SCAT","Subcategory","Char",,"Grouping Qualifier","",,,"A further grouping or classification of the category for the topic of the finding, event, or intervention.","The category is in --CAT.",
