"ID","Label","Data Type","Mandatory","Decimals","Min Length","Max Length","Format Name","Content Length"
"PE_ORRESSP","Findings","text","True","","1","","","23"
"VSPERF","Were vital signs collected?","text","True","","1","","","3"
"VSPERFCD","Were vital signs collected? - Code","text","True","","1","","CL_VSPERFF","1"
"VSDAT","Date of measurements","date","True","","1","","","10"
"VSTIM","Time of measurements","time","True","","1","","","5"
"VSREASND","Reason notperformed","text","True","","1","","","13"
"ORRES_HEIGHT","Height","double","True","0","1","","","3"
"ORRESU_HEIGHT","Height (unit)","text","True","","1","","","2"
"ORRESU_HEIGHTCD","Height (unit) - Code","integer","True","","1","","HGHTUNIT","1"
"ORRES_WEIGHT","Weight","double","True","1","1","","","4"
"ORRESU_WEIGHT","Weight (unit)","text","True","","1","","","2"
"ORRESU_WEIGHTCD","Weight (unit) - Code","integer","True","","1","","WEIGHT","1"
"ORRES_BMI","Body mass index","double","False","1","1","","","4"
"ORRESU_BMI","Body Mass Index (unit)","text","True","","1","","","5"
"ORRESU_BMICD","Body Mass Index (unit) - Code","integer","True","","1","","VSRESU_C","1"
"ORRES_TEMP","Temperature","double","True","1","1","","","4"
"ORRESU_TEMP","Height (unit)","text","True","","1","","","1"
"ORRESU_TEMPCD","Height (unit) - Code","integer","True","","1","","TEMPC","1"
"ORRES_PLS","Pulserate","double","True","0","1","","","2"
"ORRESU_PLS","Pulse rate (unit)","text","True","","1","","","9"
"ORRESU_PLSCD","Pulse rate (unit) - Code","integer","True","","1","","PULSE","1"
"POS_PLS","Position","text","True","","1","","","6"
"POS_PLSCD","Position - Code","text","True","","1","","POSITION","6"
"ORRES_SYSBP","Systolic BP","double","True","0","1","","","3"
"ORRES_DIABP","Diastolic BP","double","True","0","1","","","2"
"ORRESU_BP","BP (unit)","text","True","","1","","","4"
"ORRESU_BPCD","BP (unit) - Code","integer","True","","1","","BPUNIT","1"
"POS_BP","Position","text","True","","1","","","6"
"POS_BPCD","Position - Code","text","True","","1","","POSITION","6"
"LBHMPERF","Vital Signs collected","text","True","","1","","","3"
"LBHMPERFCD","Vital Signs collected - Code","text","True","","1","","YESNO_A","1"
"LBHMDAT","Date of blood sample","date","True","","1","","","10"
"LBHMTIM","Time of blood sample","time","True","","1","","","5"
"LBHMREASND","Reason not done","text","True","","1","","","13"
"TEST_HGB","Hemoglobin","text","True","","1","","","10"
"RANGE_HGB","HGB =/>/<","text","True","","1","","","1"
"RANGE_HGBCD","HGB =/>/< - Code","integer","True","","1","","LAB","1"
"ORRES_HGB","HGB result or finding in original units","double","True","2","1","","","4"
"ORRESU_HGB","HGB Unit","text","True","","1","","","4"
"ORRESU_HGBCD","HGB Unit - Code","integer","True","","1","","LABN","1"
"ORNR_HGB","HGB Range","text","True","2","1","","","7"
"ORNR_HGB_Lower","HGB Range (Lower limit)","text","True","","","","","2"
"ORNR_HGB_Comparator","HGB Range (Comparator)","text","True","","","","","18"
"ORNR_HGB_Upper","HGB Range (Upper limit)","text","True","","","","","2"
"ORRESUO_HGB","HGB specify unit","text","True","","1","","","0"
"CLSIG_HGB","HGB clinical significance","text","True","","1","","","3"
"CLSIG_HGBCD","HGB clinical significance - Code","integer","True","","1","","NCSCS","1"
"TEST_HCT","Hematocrit","text","True","","1","","","10"
"RANGE_HCT","HCT =/>/<","text","True","","1","","","1"
"RANGE_HCTCD","HCT =/>/< - Code","integer","True","","1","","LAB","1"
"ORRES_HCT","HCT result or finding in original units","double","True","2","1","","","4"
"ORRESU_HCT","HCT Unit","text","True","","1","","","1"
"ORRESU_HCTCD","HCT Unit - Code","integer","True","","1","","LABK","1"
"ORNR_HCT","HCT Range","text","True","2","1","","","7"
"ORNR_HCT_Lower","HCT Range (Lower limit)","text","True","","","","","2"
"ORNR_HCT_Comparator","HCT Range (Comparator)","text","True","","","","","18"
"ORNR_HCT_Upper","HCT Range (Upper limit)","text","True","","","","","2"
"ORRESUO_HCT","HCT specify unit","text","True","","1","","","0"
"CLSIG_HCT","HCT clinical significance","text","True","","1","","","0"
"CLSIG_HCTCD","HCT clinical significance - Code","integer","True","","1","","NCSCS","0"
"TEST_RBC","RBC","text","True","","1","","","3"
"RANGE_RBC","RBC =/>/<","text","True","","1","","","1"
"RANGE_RBCCD","RBC =/>/< - Code","integer","True","","1","","LAB","1"
"ORRES_RBC","RBC result or finding in original units","double","True","2","1","","","4"
"ORRESU_RBC","RBC Unit","text","True","","1","","","7"
"ORRESU_RBCCD","RBC Unit - Code","integer","True","","1","","UNITA","1"
"ORNR_RBC","RBC Range","text","True","2","1","","","9"
"ORNR_RBC_Lower","RBC Range (Lower limit)","text","True","","","","","3"
"ORNR_RBC_Comparator","RBC Range (Comparator)","text","True","","","","","18"
"ORNR_RBC_Upper","RBC Range (Upper limit)","text","True","","","","","3"
"ORRESUO_RBC","RBC specify unit","text","True","","1","","","0"
"CLSIG_RBC","RBC clinical significance","text","True","","1","","","3"
"CLSIG_RBCCD","RBC clinical significance - Code","integer","True","","1","","NCSCS","1"
"TEST_WBC","WBC","text","True","","1","","","3"
"RANGE_WBC","WBC =/>/<","text","True","","1","","","1"
"RANGE_WBCCD","WBC =/>/< - Code","integer","True","","1","","LAB","1"
"ORRES_WBC","WBC result or finding in original units","double","True","2","1","","","4"
"ORRESU_WBC","WBC Unit","text","True","","1","","","6"
"ORRESU_WBCCD","WBC Unit - Code","integer","True","","1","","LABR","1"
"ORNR_WBC","WBC Range","text","True","2","1","","","10"
"ORNR_WBC_Lower","WBC Range (Lower limit)","text","True","","","","","3"
"ORNR_WBC_Comparator","WBC Range (Comparator)","text","True","","","","","18"
"ORNR_WBC_Upper","WBC Range (Upper limit)","text","True","","","","","4"
"ORRESUO_WBC","WBC specify unit","text","True","","1","","","0"
"CLSIG_WBC","WBC clinical significance","text","True","","1","","","3"
"CLSIG_WBCCD","WBC clinical significance - Code","integer","True","","1","","NCSCS","1"
"TEST_PLAT","Platelet count","text","True","","1","","","14"
"RANGE_PLAT","PLAT =/>/<","text","True","","1","","","1"
"RANGE_PLATCD","PLAT =/>/< - Code","integer","True","","1","","LAB","1"
"ORRES_PLAT","PLAT result or finding in original units","double","True","2","1","","","3"
"ORRESU_PLAT","PLAT Unit","text","True","","1","","","6"
"ORRESU_PLATCD","PLAT Unit - Code","integer","True","","1","","LABE","1"
"ORNR_PLAT","PLAT Range","text","True","2","1","","","9"
"ORNR_PLAT_Lower","PLAT Range (Lower limit)","text","True","","","","","3"
"ORNR_PLAT_Comparator","PLAT Range (Comparator)","text","True","","","","","18"
"ORNR_PLAT_Upper","PLAT Range (Upper limit)","text","True","","","","","3"
"ORRESUO_PLAT","PLAT specify unit","text","True","","1","","","0"
"CLSIG_PLAT","PLAT clinical significance","text","True","","1","","","0"
"CLSIG_PLATCD","PLAT clinical significance - Code","integer","True","","1","","NCSCS","0"
"SCOPE_4352","Hematology","text","False","","","","","8"
"SCOPE_4352CD","Hematology - Code","integer","False","","","","CL_S4352F","4"
"LBCCPERF","Vital Signs collected","text","True","","1","","","3"
"LBCCPERFCD","Vital Signs collected - Code","text","True","","1","","YESNO_A","1"
"LBCCDAT","Date of blood sample","date","True","","1","","","10"
"LBCCTIM","Time of blood sample","time","True","","1","","","5"
"LBCCREASND","Reason not done","text","True","","1","","","13"
"LBCCCOND","Was participant in fasting state for at least 8 hours?","text","True","","1","","","3"
"LBCCCONDCD","Was participant in fasting state for at least 8 hours? - Code","text","True","","1","","YESNO","1"
"TEST_CHOL","Total cholesterol","text","True","","1","","","17"
"RANGE_CHOL","CHOL =/>/<","text","True","","1","","","1"
"RANGE_CHOLCD","CHOL =/>/< - Code","integer","True","","1","","LAB","1"
"ORRES_CHOL","CHOL result or finding in original units","double","True","2","1","","","3"
"ORRESU_CHOL","CHOL Unit","text","True","","1","","","5"
"ORRESU_CHOLCD","CHOL Unit - Code","integer","True","","1","","LABMG","1"
"ORNR_CHOL","CHOL Range","text","True","2","1","","","4"
"ORNR_CHOL_Lower","CHOL Range (Lower limit)","text","True","","","","","0"
"ORNR_CHOL_Comparator","CHOL Range (Comparator)","text","True","","","","","8"
"ORNR_CHOL_Upper","CHOL Range (Upper limit)","text","True","","","","","3"
"CLSIG_CHOL","CHOL clinical significance","text","True","","1","","","0"
"CLSIG_CHOLCD","CHOL clinical significance - Code","integer","True","","1","","NCSCS","0"
"ORRESUO_CHOL","CHOL specify unit","text","True","","1","","","0"
"TEST_AST","Aspartate aminotransferase","text","True","","1","","","26"
"RANGE_AST","AST =/>/<","text","True","","1","","","1"
"RANGE_ASTCD","AST =/>/< - Code","integer","True","","1","","LAB","1"
"ORRES_AST","AST result or finding in original units","double","True","2","1","","","2"
"ORRESU_AST","AST Unit","text","True","","1","","","3"
"ORRESU_ASTCD","AST Unit - Code","integer","True","","1","","LABG","1"
"ORNR_AST","AST Range","text","True","2","1","","","3"
"ORNR_AST_Lower","AST Range (Lower limit)","text","True","","","","","0"
"ORNR_AST_Comparator","AST Range (Comparator)","text","True","","","","","8"
"ORNR_AST_Upper","AST Range (Upper limit)","text","True","","","","","2"
"CLSIG_AST","AST clinical significance","text","True","","1","","","3"
"CLSIG_ASTCD","AST clinical significance - Code","integer","True","","1","","NCSCS","1"
"ORRESUO_AST","AST specify unit","text","True","","1","","","0"
"TEST_ALT","Alanine aminotransferase","text","True","","1","","","24"
"RANGE_ALT","ALT =/>/<","text","True","","1","","","1"
"RANGE_ALTCD","ALT =/>/< - Code","integer","True","","1","","LAB","1"
"ORRES_ALT","ALT result or finding in original units","double","True","2","1","","","2"
"ORRESU_ALT","ALT Unit","text","True","","1","","","3"
"ORRESU_ALTCD","ALT Unit - Code","integer","True","","1","","LABG","1"
"ORNR_ALT","ALT Range","text","True","2","1","","","3"
"ORNR_ALT_Lower","ALT Range (Lower limit)","text","True","","","","","0"
"ORNR_ALT_Comparator","ALT Range (Comparator)","text","True","","","","","8"
"ORNR_ALT_Upper","ALT Range (Upper limit)","text","True","","","","","2"
"CLSIG_ALT","ALT clinical significance","text","True","","1","","","3"
"CLSIG_ALTCD","ALT clinical significance - Code","integer","True","","1","","NCSCS","1"
"ORRESUO_ALT","ALT specify unit","text","True","","1","","","0"
"TEST_GLUC","Glucose","text","True","","1","","","7"
"RANGE_GLUC","GLUC =/>/<","text","True","","1","","","1"
"RANGE_GLUCCD","GLUC =/>/< - Code","integer","True","","1","","LAB","1"
"ORRES_GLUC","GLUC result or finding in original units","double","True","2","1","","","3"
"ORRESU_GLUC","GLUC Unit","text","True","","1","","","5"
"ORRESU_GLUCCD","GLUC Unit - Code","integer","True","","1","","LABA","1"
"ORNR_GLUC","GLUC Range","text","True","2","1","","","8"
"ORNR_GLUC_Lower","GLUC Range (Lower limit)","text","True","","","","","2"
"ORNR_GLUC_Comparator","GLUC Range (Comparator)","text","True","","","","","18"
"ORNR_GLUC_Upper","GLUC Range (Upper limit)","text","True","","","","","3"
"CLSIG_GLUC","GLUC clinical significance","text","True","","1","","","2"
"CLSIG_GLUCCD","GLUC clinical significance - Code","integer","True","","1","","NCSCS","1"
"ORRESUO_GLUC","GLUC specify unit","text","True","","1","","","0"
"SCOPE_4361","Clinical Chemistry","text","False","","","","","8"
"SCOPE_4361CD","Clinical Chemistry - Code","integer","False","","","","CL_S4361F","4"
"LBURPERF","Vital Signs collected","text","True","","1","","","3"
"LBURPERFCD","Vital Signs collected - Code","text","True","","1","","YESNO_A","1"
"LBURDAT","Date ofurine sample","date","True","","1","","","10"
"LBURREASND","Reason not done","text","True","","1","","","19"
"TEST_PROT","Protein","text","True","","1","","","7"
"ORRES_PROT","PROT result or finding in original units","text","True","","1","","","8"
"ORRES_PROTCD","PROT result or finding in original units - Code","integer","True","","1","","NEGPOS","1"
"CLSIG_PROT","PROT clinical significance","text","True","","1","","","3"
"CLSIG_PROTCD","PROT clinical significance - Code","integer","True","","1","","NCSCS","1"
"TEST_OCCBLD","Occult blood","text","True","","1","","","12"
"ORRES_OCCBLD","OCCBLD result or finding in original units","text","True","","1","","","8"
"ORRES_OCCBLDCD","OCCBLD result or finding in original units - Code","integer","True","","1","","NEGPOS","1"
"CLSIG_OCCBLD","OCCBLD clinical significance","text","True","","1","","","3"
"CLSIG_OCCBLDCD","OCCBLD clinical significance - Code","integer","True","","1","","NCSCS","1"
"TEST_GLUCU","Glucose","text","True","","1","","","7"
"ORRES_GLUCU","GLUCU result or finding in original units","text","True","","1","","","8"
"ORRES_GLUCUCD","GLUCU result or finding in original units - Code","integer","True","","1","","NEGPOS","1"
"CLSIG_GLUCU","GLUCU clinical significance","text","True","","1","","","3"
"CLSIG_GLUCUCD","GLUCU clinical significance - Code","integer","True","","1","","NCSCS","1"
"TEST_PH","pH","text","True","","1","","","2"
"RANGE_PH","PH =/>/<","text","True","","1","","","1"
"RANGE_PHCD","PH =/>/< - Code","integer","True","","1","","LAB","1"
"ORRES_PH","PH result or finding in original units","double","True","2","1","","","3"
"ORNR_PH","PH Range","text","True","2","1","","","7"
"ORNR_PH_Lower","PH Range (Lower limit)","text","True","","","","","1"
"ORNR_PH_Comparator","PH Range (Comparator)","text","True","","","","","18"
"ORNR_PH_Upper","PH Range (Upper limit)","text","True","","","","","3"
"CLSIG_PH","PH clinical significance","text","True","","1","","","0"
"CLSIG_PHCD","PH clinical significance - Code","integer","True","","1","","NCSCS","0"
"SCOPE_4354","Urinalysis","text","False","","","","","8"
"SCOPE_4354CD","Urinalysis - Code","integer","False","","","","CL_S4354F","4"
"LBSAPERF","Vital Signs collected","text","True","","1","","","3"
"LBSAPERFCD","Vital Signs collected - Code","text","True","","1","","YESNO_A","1"
"LBSADAT","Date ofstool sample","date","True","","1","","","10"
"LBSAREASND","Reason not done","text","True","","1","","","20"
"ORRES_CULTURE0","Organism(s) present in stool 0","text","True","","1","","","4"
"ORRES_CULTURE0CD","Organism(s) present in stool 0 - Code","text","True","","1","","CULTURE","1"
"ORRES_CULTURE1","Organism(s) present in stool 1","text","True","","1","","","0"
"ORRES_CULTURE1CD","Organism(s) present in stool 1 - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTURE2","Organism(s) present in stool 2","text","True","","1","","","0"
"ORRES_CULTURE2CD","Organism(s) present in stool 2 - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTURE3","Organism(s) present in stool 3","text","True","","1","","","0"
"ORRES_CULTURE3CD","Organism(s) present in stool 3 - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTURE4","Organism(s) present in stool 4","text","True","","1","","","0"
"ORRES_CULTURE4CD","Organism(s) present in stool 4 - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTURE5","Organism(s) present in stool 5","text","True","","1","","","16"
"ORRES_CULTURE5CD","Organism(s) present in stool 5 - Code","text","True","","1","","CULTURE","1"
"ORRES_CULTURE6","Organism(s) present in stool 6","text","True","","1","","","0"
"ORRES_CULTURE6CD","Organism(s) present in stool 6 - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTURE7","Organism(s) present in stool 7","text","True","","1","","","0"
"ORRES_CULTURE7CD","Organism(s) present in stool 7 - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTURE8","Organism(s) present in stool 8","text","True","","1","","","0"
"ORRES_CULTURE8CD","Organism(s) present in stool 8 - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTURE9","Organism(s) present in stool 9","text","True","","1","","","9"
"ORRES_CULTURE9CD","Organism(s) present in stool 9 - Code","text","True","","1","","CULTURE","1"
"ORRES_CULTURE10","Organism(s) present in stool 10","text","True","","1","","","0"
"ORRES_CULTURE10CD","Organism(s) present in stool 10 - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTURE11","Organism(s) present in stool 11","text","True","","1","","","0"
"ORRES_CULTURE11CD","Organism(s) present in stool 11 - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTURE12","Organism(s) present in stool 12","text","True","","1","","","0"
"ORRES_CULTURE12CD","Organism(s) present in stool 12 - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTURE13","Organism(s) present in stool 13","text","True","","1","","","0"
"ORRES_CULTURE13CD","Organism(s) present in stool 13 - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTUREOT","Organism(s) present in stool OT","text","True","","1","","","0"
"ORRES_CULTUREOTCD","Organism(s) present in stool OT - Code","text","True","","1","","CULTURE","0"
"ORRES_CULTURESP","Specification other organism(s)","text","True","","1","","","0"
"PGAPERF","Was the Physician’s Global Assessment performed?","text","True","","1","","","3"
"PGAPERFCD","Was the Physician’s Global Assessment performed? - Code","text","True","","1","","CL_PGAPERFF","1"
"QSPGADAT","Date ofassessment","date","True","","1","","","10"
"QSPGAREASND","Reason not done","text","True","","1","","","13"
"QSPGARS","Overall assessment of severity","text","True","","1","","","8"
"QSPGARSCD","Overall assessment of severity - Code","integer","True","","1","","QSPGARS","1"
"LCDAT","Date of last contact","date","True","","1","","","10"
"COMPLYN","Completed the Trial","text","True","","1","","","3"
"COMPLYNCD","Completed the Trial - Code","text","True","","1","","YESNO","1"
"ETDAT","Date of early discontinuation","date","True","","1","","","10"
"ETSTAT","Primary reason for earlydiscontinuation","text","True","","1","","","65"
"ETSTATCD","Primary reason for earlydiscontinuation - Code","text","True","","1","","REASON","1"
"ETAE1","Related toAdverse Event 1","text","True","","1","","","0"
"ETAE1ID","Related toAdverse Event 1 - Identifier","text","True","","1","","","0"
"ETSP","Primary reason other specification","text","True","","1","","","0"
"LCCHGYN","Did the participant report any lifestyle changes since the previous visit?","text","True","","1","","","3"
"LCCHGYNCD","Did the participant report any lifestyle changes since the previous visit? - Code","text","True","","1","","YESNO","1"
"LCCHANGE1","Lifestyle Changes in 1","text","True","","1","","","0"
"LCCHANGE1CD","Lifestyle Changes in 1 - Code","integer","True","","1","","LCCHANGE","0"
"LCCHANGE2","Lifestyle Changes in 2","text","True","","1","","","17"
"LCCHANGE2CD","Lifestyle Changes in 2 - Code","integer","True","","1","","LCCHANGE","1"
"LCCHANGE3","Lifestyle Changes in 3","text","True","","1","","","11"
"LCCHANGE3CD","Lifestyle Changes in 3 - Code","integer","True","","1","","LCCHANGE","1"
"LCCHANGE4","Lifestyle Changes in 4","text","True","","1","","","11"
"LCCHANGE4CD","Lifestyle Changes in 4 - Code","integer","True","","1","","LCCHANGE","1"
"LCVEGDAT","Dateof Change","date","True","","1","","","0"
"LCVEGYN","Does the participant eat an exclusively vegetarian diet?","text","True","","1","","","2"
"LCVEGYNCD","Does the participant eat an exclusively vegetarian diet? - Code","text","True","","1","","YESNO","1"
"LCPHYSDAT","Dateof Change","date","True","","1","","","10"
"LCPHYSA","Status","text","True","","1","","","143"
"LCPHYSACD","Status - Code","integer","True","","1","","LCPHYSA","1"
"LCSMOKEDAT","Dateof Change","date","True","","1","","","10"
"SMOKE_SUNCF","Smoking consumption status","text","True","","1","","","7"
"SMOKE_SUNCFCD","Smoking consumption status - Code","integer","True","","1","","NCF","1"
"SMOKEENDAT","Date of Smoking Cessation","date","True","","1","","","10"
"SMOKE_YR_ORRES","Number of Years Smoked","double","True","0","1","","","2"
"SMOKE_NO_ORRES","Average Number of Cigarettes per Day While Smoking","double","True","0","1","","","1"
"LCALCDAT","Dateof change","date","True","","1","","","10"
"ALC_SUNCF","Smoking consumption status","text","True","","1","","","7"
"ALC_SUNCFCD","Smoking consumption status - Code","integer","True","","1","","NCF","1"
"ALCENDAT","Date of Alcohol Cessation","date","True","","1","","","10"
"ALC_YR_ORRES","Number of Years Used Alcohol","double","True","0","1","","","2"
"ALC_NO_ORRES","Average Number of Drinks","double","True","0","1","","","1"
"ALC_FRQ","Frequency","text","True","","1","","","6"
"ALC_FRQCD","Frequency - Code","integer","True","","1","","ALCFRQ","1"
"RETAMT_DAPERF","Was the IMP returned?","text","True","","1","","","3"
"RETAMT_DAPERFCD","Was the IMP returned? - Code","text","True","","1","","YESNO","1"
"RETAMT_DAREASND","Reason not returned","text","True","","1","","","9"
"RETAMT_DADAT","Returned date","date","True","","1","","","10"
"RETAMT_DAORRES","Number of capsules","double","True","0","1","","","2"
"RETAMT_DAREFID1","Kitnumber","text","True","","3","3","","3"
"RETAMT_DAREFID2","Kit number","text","False","","3","3","","3"
"RETAMT_DAREFID3","Kit number","text","False","","3","3","","3"
"DISAMT_DAPERF","Was the IMP dispensed?","text","True","","1","","","3"
"DISAMT_DAPERFCD","Was the IMP dispensed? - Code","text","True","","1","","YESNO","1"
"DISAMT_DAREASND","Reason notdispensed","text","True","","1","","","0"
"DISAMT_DADAT","Dispensedate","date","True","","1","","","10"
"DISAMT_DAORRES","Number ofcapsules","double","True","0","1","","","2"
"DISAMT_DAREFID1","Kit number","text","True","","3","3","","3"
"DISAMT_DAREFID2","Kit number","text","False","","3","3","","3"
"DAMSSYN","Missed doses","text","True","","1","","","3"
"DAMSSYNCD","Missed doses - Code","text","True","","1","","YESNO","1"
"MSSAMT_DAORRES","Number of missed capsulessince previous visit","double","True","0","1","","","1"
"DAFMLYN","Trial medication taken with first meal","text","True","","1","","","3"
"DAFMLYNCD","Trial medication taken with first meal - Code","text","True","","1","","YESNO","1"
"DAFMLYN_DAORRES","Number of days IMP nottaken with the first meal of the day","double","True","0","1","","","1"
"MHSPID","Sponsor-Defined Identifier","double","True","0","1","","","1"
"MHTERM","Reported term for the medical/surgical history","text","True","","1","200","","28"
"MHSTDAT","Start date","date","True","","1","","","10"
"MHONGO","Ongoing","text","True","","1","","","3"
"MHONGOCD","Ongoing - Code","text","True","","1","","YESNO","1"
"MHENDAT","End date","date","True","","1","","","10"
"AESPID","Sponsor-Defined Identifier","double","True","0","1","","","1"
"AETERM","Reported Term for the Adverse Event","text","True","","1","","","19"
"AESTDAT","Start Date of Adverse Event","date","True","","1","","","10"
