"Format Name","Data Type","Code Value","Code Text"
"CULTURE","text","5","Escherichia coli"
"CULTURE","text","6","Giardia lamblia"
"CULTURE","text","7","Cryptosporidium"
"CULTURE","text","8","Vibrio"
"CULTURE","text","9","Aeromonas"
"CULTURE","text","10","Plesiomonas"
"CULTURE","text","11","Clostridium difficile GDH Ag"
"CULTURE","text","12","Clostridium difficile Toxin A"
"CULTURE","text","13","Clostridium difficile Toxin B"
"CULTURE","text","OT","Other organism(s)"
"LABMG","integer","1","mmol/L"
"LABMG","integer","2","umol/L"
"LABMG","integer","3","mg/dL"
"LABMG","integer","4","mg/L"
"LABMG","integer","5","mEq/L"
"LABMG","integer","99","Other"
"LABG","integer","1","U/L"
"LABG","integer","2","nkat/L"
"LABG","integer","3","ukat/L"
"LABG","integer","4","nmol/L/min"
"LABG","integer","5","umol/L/sec"
"LABG","integer","6","umol/L/min"
"LABG","integer","7","umol/L/h"
"LABG","integer","8","IU/L"
"LABG","integer","99","Other"
"LABA","integer","1","mg/dL"
"LABA","integer","2","mmol/L"
"LABA","integer","3","umol/L"
"LABA","integer","4","mg/L"
"LABA","integer","99","Other"
"CL_S4361F","integer","5763","KIEM lab"
"CL_S4361F","integer","5764","KIEM lab"
"CL_PGAPERFF","text","Y","Yes"
"CL_PGAPERFF","text","N","No"
"QSPGARS","integer","0","Absent"
"QSPGARS","integer","1","Mild"
"QSPGARS","integer","2","Moderate"
"QSPGARS","integer","3","Severe"
"VTYPE","integer","1","In-Clinic"
"VTYPE","integer","2","Virtual"
"VTYPE","integer","3","Phone"
"VTYPE","integer","4","In-Home"
"VTYPE","integer","5","Visit did not occur"
"LCCHANGE","integer","1","Vegetarian Diet"
"LCCHANGE","integer","2","Physical Activity"
"LCCHANGE","integer","3","Smoking Use"
"LCCHANGE","integer","4","Alcohol Use"
"LCPHYSA","integer","1","Performs vigorous physical activities (eg, heavy lifting, digging, aerobics, or fast bicycling)"
"LCPHYSA","integer","2","Performs only moderate physical activities (eg, carrying light loads, bicycling at a regular pace, or doubles tennis; does not include walking)"
"LCPHYSA","integer","3","Performs no vigorous or moderate physical activities as described above and is essentially sedentary for more than 5 days/week"
"NCF","integer","1","Never"
"NCF","integer","2","Current"
"NCF","integer","3","Former"
"ALCFRQ","integer","1","Daily"
"ALCFRQ","integer","2","Weekly"
"ALCFRQ","integer","3","Monthly"
"ALCFRQ","integer","4","Occasionally"
"REASON","text","1","Withdrawal of consent"
"REASON","text","2","Failure to meet inclusion and exclusion criteria (screen failure)"
"REASON","text","3","Participant meets an individual stopping criterion"
"REASON","text","4","Physician decision for safety reasons and in the best interest of the participant"
"REASON","text","5","Adverse event"
"REASON","text","6","Participant fails to comply with the dosing, trial procedures, evaluations, or other requirements of the trial"
"REASON","text","7","The participant starts treatment with non-permitted concomitant therapy as defined in the Exclusion Criteria"
"REASON","text","9","Lost to follow-up"
"REASON","text","10","Discontinuation by Investigator, DSMB, and/or Sponsor"
"REASON","text","11","Pregnancy"
"REASON","text","OT","Other"
"ONG","text","ONG","Ongoing"
"SERIOUS","integer","1","Death"
"SERIOUS","integer","2","Life-threatening"
"SERIOUS","integer","3","Hospitalisation / prolongation of hospitalisation"
"SERIOUS","integer","4","Persistent or significant disability / incapacity"
"SERIOUS","integer","5","Congenital anomaly / birth defect"
"SERIOUS","integer","6","Other medically important event"
"SEVERITY","integer","1","Mild"
"SEVERITY","integer","2","Moderate"
"SEVERITY","integer","3","Severe"
"ACNB","text","0","None"
"ACNB","text","1","Medication"
"ACNB","text","2","Procedure (therapeutic or diagnostic)"
"ACNB","text","3","Hospitalization or prolongation of hospitalization"
"ACNB","text","4","Discontinuation"
"ACNB","text","OT","Other"
"ACNA","text","1","Product intake ongoing/dose not changed"
"ACNA","text","4","Product interrupted"
"ACNA","text","5","Product withdrawn"
"ACNA","text","NA","Not applicable"
"OUTCOME","text","1","Recovered or resolved"
"OUTCOME","text","2","Recovering or resolving"
"OUTCOME","text","3","Recovered or resolved with sequelae"
"OUTCOME","text","4","Not recovered or not resolved"
"OUTCOME","text","5","Fatal"
"OUTCOME","text","UK","Unknown"
"UNIT","text","g","g"
"UNIT","text","mg","mg"
"UNIT","text","ug","ug"
"UNIT","text","mL","mL"
"UNIT","text","IU","IU"
"UNIT","text","TABLET","Tablet"
"UNIT","text","CAPSULE","Capsule"
"UNIT","text","PUF","Puff"
"UNIT","text","OT","Other"
"FRQ","text","QD","Daily"
"FRQ","text","BID","Twice per day"
"FRQ","text","TID","3 times per day"
"FRQ","text","QID","4 times per day"
"FRQ","text","QOD","Every other day"
"FRQ","text","ONCE","Once"
"FRQ","text","PRN","As needed"
"FRQ","text","UK","Unknown"
"FRQ","text","OT","Other"
"ROUTE","text","ORAL","Oral"
"ROUTE","text","NASAL","Nasal"
"ROUTE","text","RECTAL","Rectal"
"ROUTE","text","TOPICAL","Topical"
"ROUTE","text","SUBCUTANEOUS","Subcutaneous"
"ROUTE","text","INTRAMUSCULAR","Intramuscular"
"ROUTE","text","RESPIRATORY (INHALATION)","Respiratory (inhalation)"
"ROUTE","text","AURICULAR (OTIC)","Auricular (otic)"
"ROUTE","text","INTRAVENOUS","Intravenous"
"ROUTE","text","OPHTHALMIC","Ophthalmic"
"ROUTE","text","SUBLINGUAL","Sublingual"
"ROUTE","text","VAGINAL","Vaginal"
"ROUTE","text","OT","Other"
"INDICAT","text","1","Medical History"
"INDICAT","text","2","Adverse Event"
"INDICAT","text","3","Profylaxis"
"INDICAT","text","OT","Other"
"EXSTAT","text","1","8 weeks of treatment completed"
"EXSTAT","text","2","Participant experiences a serious AE (SAE)"
"EXSTAT","text","3","Significant worsening of clinical symptoms"
"EXSTAT","text","4","Participant wants to withdraw from treatment"
"EXSTAT","text","5","Pregnancy"
"EXSTAT","text","6","Participant is inadvertently enrolled"
"EXSTAT","text","7","Investigator’s judgement"
"EXSTAT","text","8","DSMB judgement"
"EXSTAT","text","OT","Other"
"PREGTEST","integer","1","Serum"
"PREGTEST","integer","2","Urine"
"POSNEG","integer","1","Positive"
"POSNEG","integer","0","Negative"
